MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15
43,LISSAJOUS_ML,MD1,0,"0.24,1000,0,0","-0.84,1000,0,0","1.50,1000,0,0","-2.17,1000,0,0","2.30,1000,0,0","-2.42,1000,0,0","2.30,1000,0,0","-2.42,1000,0,0","2.30,1000,0,0","-2.17,1000,0,0","1.50,1000,0,0","-0.84,1000,0,0","0.24,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
43,LISSAJOUS_ML,MD2,0,"0.25,1000,0,0","-0.82,1000,0,0","1.56,1000,0,0","-2.07,1000,0,0","2.43,1000,0,0","-2.30,1000,0,0","2.43,1000,0,0","-2.30,1000,0,0","2.43,1000,0,0","-2.07,1000,0,0","1.56,1000,0,0","-0.82,1000,0,0","0.25,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
43,LISSAJOUS_ML,MD3,0,"0.24,1000,0,0","-0.84,1000,0,0","1.50,1000,0,0","-2.16,1000,0,0","2.29,1000,0,0","-2.42,1000,0,0","2.29,1000,0,0","-2.42,1000,0,0","2.29,1000,0,0","-2.16,1000,0,0","1.50,1000,0,0","-0.84,1000,0,0","0.24,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
43,LISSAJOUS_ML,MD4,0,"0.25,1000,0,0","-0.82,1000,0,0","1.56,1000,0,0","-2.06,1000,0,0","2.42,1000,0,0","-2.29,1000,0,0","2.42,1000,0,0","-2.29,1000,0,0","2.42,1000,0,0","-2.06,1000,0,0","1.56,1000,0,0","-0.82,1000,0,0","0.25,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
