MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11
48,Z_SINE_0.3HZ_A3,MD1,0,"-0.25,1667,0,0","0.69,1667,0,0","-0.96,1667,0,0","0.93,1667,0,0","-0.96,1667,0,0","0.93,1667,0,0","-0.96,1667,0,0","0.69,1667,0,0","-0.25,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
48,Z_SINE_0.3HZ_A3,MD2,0,"0.24,1667,0,0","-0.69,1667,0,0","0.95,1667,0,0","-0.93,1667,0,0","0.95,1667,0,0","-0.93,1667,0,0","0.95,1667,0,0","-0.69,1667,0,0","0.24,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
48,Z_SINE_0.3HZ_A3,MD3,0,"-0.25,1667,0,0","0.70,1667,0,0","-0.97,1667,0,0","0.95,1667,0,0","-0.97,1667,0,0","0.95,1667,0,0","-0.97,1667,0,0","0.70,1667,0,0","-0.25,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
48,Z_SINE_0.3HZ_A3,MD4,0,"0.25,1667,0,0","-0.70,1667,0,0","0.97,1667,0,0","-0.94,1667,0,0","0.97,1667,0,0","-0.94,1667,0,0","0.97,1667,0,0","-0.70,1667,0,0","0.25,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
