MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19
14,ML_SINE_0.7HZ_A10,MD1,0,"0.13,714,0,0","-0.47,714,0,0","0.92,714,0,0","-1.46,714,0,0","1.85,714,0,0","-2.29,714,0,0","2.30,714,0,0","-2.42,714,0,0","2.30,714,0,0","-2.42,714,0,0","2.30,714,0,0","-2.29,714,0,0","1.85,714,0,0","-1.46,714,0,0","0.92,714,0,0","-0.47,714,0,0","0.13,714,0,0","0.00,714,0,0","0.00,714,0,0"
14,ML_SINE_0.7HZ_A10,MD2,0,"0.13,714,0,0","-0.47,714,0,0","0.94,714,0,0","-1.41,714,0,0","1.93,714,0,0","-2.17,714,0,0","2.43,714,0,0","-2.30,714,0,0","2.43,714,0,0","-2.30,714,0,0","2.43,714,0,0","-2.17,714,0,0","1.93,714,0,0","-1.41,714,0,0","0.94,714,0,0","-0.47,714,0,0","0.13,714,0,0","0.00,714,0,0","0.00,714,0,0"
14,ML_SINE_0.7HZ_A10,MD3,0,"0.13,714,0,0","-0.47,714,0,0","0.92,714,0,0","-1.45,714,0,0","1.85,714,0,0","-2.28,714,0,0","2.29,714,0,0","-2.42,714,0,0","2.29,714,0,0","-2.42,714,0,0","2.29,714,0,0","-2.28,714,0,0","1.85,714,0,0","-1.45,714,0,0","0.92,714,0,0","-0.47,714,0,0","0.13,714,0,0","0.00,714,0,0","0.00,714,0,0"
14,ML_SINE_0.7HZ_A10,MD4,0,"0.13,714,0,0","-0.47,714,0,0","0.94,714,0,0","-1.41,714,0,0","1.93,714,0,0","-2.17,714,0,0","2.42,714,0,0","-2.29,714,0,0","2.42,714,0,0","-2.29,714,0,0","2.42,714,0,0","-2.17,714,0,0","1.93,714,0,0","-1.41,714,0,0","0.94,714,0,0","-0.47,714,0,0","0.13,714,0,0","0.00,714,0,0","0.00,714,0,0"
