MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13
37,ELLIPSE_AP20_ML10_0.4HZ,MD1,0,"0.79,1250,0,0","-2.53,1250,0,0","4.26,1250,0,0","-5.05,1250,0,0","5.05,1250,0,0","-5.05,1250,0,0","5.05,1250,0,0","-5.05,1250,0,0","4.26,1250,0,0","-2.53,1250,0,0","0.79,1250,0,0","-0.00,1250,0,0","0.00,1250,0,0"
37,ELLIPSE_AP20_ML10_0.4HZ,MD2,0,"0.79,1250,0,0","-2.53,1250,0,0","4.26,1250,0,0","-5.05,1250,0,0","5.05,1250,0,0","-5.05,1250,0,0","5.05,1250,0,0","-5.05,1250,0,0","4.26,1250,0,0","-2.53,1250,0,0","0.79,1250,0,0","-0.00,1250,0,0","0.00,1250,0,0"
37,ELLIPSE_AP20_ML10_0.4HZ,MD3,0,"0.79,1250,0,0","-2.53,1250,0,0","4.26,1250,0,0","-5.05,1250,0,0","5.05,1250,0,0","-5.05,1250,0,0","5.05,1250,0,0","-5.05,1250,0,0","4.26,1250,0,0","-2.53,1250,0,0","0.79,1250,0,0","-0.00,1250,0,0","0.00,1250,0,0"
37,ELLIPSE_AP20_ML10_0.4HZ,MD4,0,"0.79,1250,0,0","-2.53,1250,0,0","4.26,1250,0,0","-5.05,1250,0,0","5.05,1250,0,0","-5.05,1250,0,0","5.05,1250,0,0","-5.05,1250,0,0","4.26,1250,0,0","-2.53,1250,0,0","0.79,1250,0,0","-0.00,1250,0,0","0.00,1250,0,0"
