MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15
49,Z_SINE_0.5HZ_A3,MD1,0,"-0.10,1000,0,0","0.33,1000,0,0","-0.62,1000,0,0","0.84,1000,0,0","-0.96,1000,0,0","0.93,1000,0,0","-0.96,1000,0,0","0.93,1000,0,0","-0.96,1000,0,0","0.84,1000,0,0","-0.62,1000,0,0","0.33,1000,0,0","-0.10,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
49,Z_SINE_0.5HZ_A3,MD2,0,"0.10,1000,0,0","-0.33,1000,0,0","0.61,1000,0,0","-0.83,1000,0,0","0.95,1000,0,0","-0.93,1000,0,0","0.95,1000,0,0","-0.93,1000,0,0","0.95,1000,0,0","-0.83,1000,0,0","0.61,1000,0,0","-0.33,1000,0,0","0.10,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
49,Z_SINE_0.5HZ_A3,MD3,0,"-0.10,1000,0,0","0.34,1000,0,0","-0.63,1000,0,0","0.85,1000,0,0","-0.97,1000,0,0","0.95,1000,0,0","-0.97,1000,0,0","0.95,1000,0,0","-0.97,1000,0,0","0.85,1000,0,0","-0.63,1000,0,0","0.34,1000,0,0","-0.10,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
49,Z_SINE_0.5HZ_A3,MD4,0,"0.10,1000,0,0","-0.34,1000,0,0","0.62,1000,0,0","-0.85,1000,0,0","0.97,1000,0,0","-0.94,1000,0,0","0.97,1000,0,0","-0.94,1000,0,0","0.97,1000,0,0","-0.85,1000,0,0","0.62,1000,0,0","-0.34,1000,0,0","0.10,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
