MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19,P-Vector 20,P-Vector 21,P-Vector 22,P-Vector 23,P-Vector 24,P-Vector 25,P-Vector 26,P-Vector 27,P-Vector 28,P-Vector 29,P-Vector 30,P-Vector 31,P-Vector 32,P-Vector 33,P-Vector 34,P-Vector 35,P-Vector 36,P-Vector 37,P-Vector 38
8,MICRO_RESUME,MD1,0,"0.00,1000,0,0","-0.02,1000,0,0","0.03,1000,0,0","-0.06,1000,0,0","0.09,1000,0,0","-0.12,1000,0,0","0.16,1000,0,0","-0.21,1000,0,0","0.25,1000,0,0","-0.31,1000,0,0","0.36,1000,0,0","-0.42,1000,0,0","0.47,1000,0,0","-0.53,1000,0,0","0.59,1000,0,0","-0.65,1000,0,0","0.70,1000,0,0","-0.77,1000,0,0","0.81,1000,0,0","-0.88,1000,0,0","0.92,1000,0,0","-0.98,1000,0,0","1.01,1000,0,0","-1.07,1000,0,0","1.08,1000,0,0","-1.14,1000,0,0","1.13,1000,0,0","-1.18,1000,0,0","1.16,1000,0,0","-1.20,1000,0,0","1.16,1000,0,0","-1.20,1000,0,0","1.05,1000,0,0","-0.77,1000,0,0","0.41,1000,0,0","-0.12,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
8,MICRO_RESUME,MD2,0,"0.00,1000,0,0","-0.02,1000,0,0","0.03,1000,0,0","-0.06,1000,0,0","0.09,1000,0,0","-0.12,1000,0,0","0.16,1000,0,0","-0.21,1000,0,0","0.26,1000,0,0","-0.31,1000,0,0","0.36,1000,0,0","-0.41,1000,0,0","0.48,1000,0,0","-0.53,1000,0,0","0.59,1000,0,0","-0.64,1000,0,0","0.71,1000,0,0","-0.76,1000,0,0","0.83,1000,0,0","-0.87,1000,0,0","0.94,1000,0,0","-0.96,1000,0,0","1.03,1000,0,0","-1.05,1000,0,0","1.11,1000,0,0","-1.11,1000,0,0","1.16,1000,0,0","-1.15,1000,0,0","1.19,1000,0,0","-1.17,1000,0,0","1.20,1000,0,0","-1.17,1000,0,0","1.07,1000,0,0","-0.76,1000,0,0","0.42,1000,0,0","-0.12,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
8,MICRO_RESUME,MD3,0,"0.00,1000,0,0","-0.02,1000,0,0","0.03,1000,0,0","-0.06,1000,0,0","0.09,1000,0,0","-0.12,1000,0,0","0.16,1000,0,0","-0.21,1000,0,0","0.25,1000,0,0","-0.31,1000,0,0","0.36,1000,0,0","-0.42,1000,0,0","0.47,1000,0,0","-0.53,1000,0,0","0.59,1000,0,0","-0.65,1000,0,0","0.70,1000,0,0","-0.77,1000,0,0","0.81,1000,0,0","-0.88,1000,0,0","0.91,1000,0,0","-0.98,1000,0,0","1.00,1000,0,0","-1.07,1000,0,0","1.08,1000,0,0","-1.14,1000,0,0","1.13,1000,0,0","-1.18,1000,0,0","1.16,1000,0,0","-1.19,1000,0,0","1.16,1000,0,0","-1.19,1000,0,0","1.04,1000,0,0","-0.77,1000,0,0","0.41,1000,0,0","-0.12,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
8,MICRO_RESUME,MD4,0,"0.00,1000,0,0","-0.02,1000,0,0","0.03,1000,0,0","-0.06,1000,0,0","0.09,1000,0,0","-0.12,1000,0,0","0.16,1000,0,0","-0.21,1000,0,0","0.26,1000,0,0","-0.30,1000,0,0","0.36,1000,0,0","-0.41,1000,0,0","0.48,1000,0,0","-0.53,1000,0,0","0.59,1000,0,0","-0.64,1000,0,0","0.71,1000,0,0","-0.76,1000,0,0","0.83,1000,0,0","-0.86,1000,0,0","0.93,1000,0,0","-0.96,1000,0,0","1.03,1000,0,0","-1.04,1000,0,0","1.11,1000,0,0","-1.11,1000,0,0","1.16,1000,0,0","-1.15,1000,0,0","1.19,1000,0,0","-1.16,1000,0,0","1.20,1000,0,0","-1.16,1000,0,0","1.07,1000,0,0","-0.76,1000,0,0","0.42,1000,0,0","-0.12,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
