MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19,P-Vector 20,P-Vector 21
25,AP_SINE_0.8HZ_A10,MD1,0,"0.11,625,0,0","-0.39,625,0,0","0.80,625,0,0","-1.26,625,0,0","1.73,625,0,0","-2.13,625,0,0","2.42,625,0,0","-2.53,625,0,0","2.53,625,0,0","-2.53,625,0,0","2.53,625,0,0","-2.53,625,0,0","2.42,625,0,0","-2.13,625,0,0","1.73,625,0,0","-1.26,625,0,0","0.80,625,0,0","-0.39,625,0,0","0.11,625,0,0","-0.00,625,0,0","0.00,625,0,0"
25,AP_SINE_0.8HZ_A10,MD2,0,"0.11,625,0,0","-0.39,625,0,0","0.80,625,0,0","-1.26,625,0,0","1.73,625,0,0","-2.13,625,0,0","2.42,625,0,0","-2.53,625,0,0","2.53,625,0,0","-2.53,625,0,0","2.53,625,0,0","-2.53,625,0,0","2.42,625,0,0","-2.13,625,0,0","1.73,625,0,0","-1.26,625,0,0","0.80,625,0,0","-0.39,625,0,0","0.11,625,0,0","-0.00,625,0,0","0.00,625,0,0"
25,AP_SINE_0.8HZ_A10,MD3,0,"0.11,625,0,0","-0.39,625,0,0","0.80,625,0,0","-1.26,625,0,0","1.73,625,0,0","-2.13,625,0,0","2.42,625,0,0","-2.53,625,0,0","2.53,625,0,0","-2.53,625,0,0","2.53,625,0,0","-2.53,625,0,0","2.42,625,0,0","-2.13,625,0,0","1.73,625,0,0","-1.26,625,0,0","0.80,625,0,0","-0.39,625,0,0","0.11,625,0,0","-0.00,625,0,0","0.00,625,0,0"
25,AP_SINE_0.8HZ_A10,MD4,0,"0.11,625,0,0","-0.39,625,0,0","0.80,625,0,0","-1.26,625,0,0","1.73,625,0,0","-2.13,625,0,0","2.42,625,0,0","-2.53,625,0,0","2.53,625,0,0","-2.53,625,0,0","2.53,625,0,0","-2.53,625,0,0","2.42,625,0,0","-2.13,625,0,0","1.73,625,0,0","-1.26,625,0,0","0.80,625,0,0","-0.39,625,0,0","0.11,625,0,0","-0.00,625,0,0","0.00,625,0,0"
