MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11
40,CIRCLE_CCW_R10_0.3HZ,MD1,0,"0.61,1667,0,0","-1.78,1667,0,0","2.30,1667,0,0","-2.42,1667,0,0","2.30,1667,0,0","-2.42,1667,0,0","2.30,1667,0,0","-1.78,1667,0,0","0.61,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
40,CIRCLE_CCW_R10_0.3HZ,MD2,0,"0.62,1667,0,0","-1.72,1667,0,0","2.43,1667,0,0","-2.30,1667,0,0","2.43,1667,0,0","-2.30,1667,0,0","2.43,1667,0,0","-1.72,1667,0,0","0.62,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
40,CIRCLE_CCW_R10_0.3HZ,MD3,0,"0.61,1667,0,0","-1.78,1667,0,0","2.29,1667,0,0","-2.42,1667,0,0","2.29,1667,0,0","-2.42,1667,0,0","2.29,1667,0,0","-1.78,1667,0,0","0.61,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
40,CIRCLE_CCW_R10_0.3HZ,MD4,0,"0.62,1667,0,0","-1.71,1667,0,0","2.42,1667,0,0","-2.29,1667,0,0","2.42,1667,0,0","-2.29,1667,0,0","2.42,1667,0,0","-1.71,1667,0,0","0.62,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
