MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18
46,ADAPTIVE_A,MD1,0,"0.12,1000,0,0","-0.42,1000,0,0","0.76,1000,0,0","-1.07,1000,0,0","1.16,1000,0,0","-1.20,1000,0,0","1.16,1000,0,0","-1.20,1000,0,0","1.16,1000,0,0","-2.42,1000,0,0","2.30,1000,0,0","-2.42,1000,0,0","2.30,1000,0,0","-3.68,1000,0,0","3.39,1000,0,0","-3.68,1000,0,0","3.39,1000,0,0","0.00,1000,0,0"
46,ADAPTIVE_A,MD2,0,"0.12,1000,0,0","-0.41,1000,0,0","0.77,1000,0,0","-1.05,1000,0,0","1.20,1000,0,0","-1.17,1000,0,0","1.20,1000,0,0","-1.17,1000,0,0","1.20,1000,0,0","-2.30,1000,0,0","2.43,1000,0,0","-2.30,1000,0,0","2.43,1000,0,0","-3.40,1000,0,0","3.68,1000,0,0","-3.40,1000,0,0","3.68,1000,0,0","0.00,1000,0,0"
46,ADAPTIVE_A,MD3,0,"0.12,1000,0,0","-0.42,1000,0,0","0.76,1000,0,0","-1.07,1000,0,0","1.16,1000,0,0","-1.19,1000,0,0","1.16,1000,0,0","-1.19,1000,0,0","1.16,1000,0,0","-2.42,1000,0,0","2.29,1000,0,0","-2.42,1000,0,0","2.29,1000,0,0","-3.68,1000,0,0","3.39,1000,0,0","-3.68,1000,0,0","3.39,1000,0,0","0.00,1000,0,0"
46,ADAPTIVE_A,MD4,0,"0.12,1000,0,0","-0.41,1000,0,0","0.77,1000,0,0","-1.04,1000,0,0","1.20,1000,0,0","-1.16,1000,0,0","1.20,1000,0,0","-1.16,1000,0,0","1.20,1000,0,0","-2.29,1000,0,0","2.42,1000,0,0","-2.29,1000,0,0","2.42,1000,0,0","-3.39,1000,0,0","3.68,1000,0,0","-3.39,1000,0,0","3.68,1000,0,0","0.00,1000,0,0"
