MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11
35,ELLIPSE_AP15_ML5_0.3HZ,MD1,0,"0.91,1667,0,0","-2.70,1667,0,0","3.39,1667,0,0","-3.68,1667,0,0","3.39,1667,0,0","-3.68,1667,0,0","3.39,1667,0,0","-2.70,1667,0,0","0.91,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
35,ELLIPSE_AP15_ML5_0.3HZ,MD2,0,"0.93,1667,0,0","-2.55,1667,0,0","3.68,1667,0,0","-3.40,1667,0,0","3.68,1667,0,0","-3.40,1667,0,0","3.68,1667,0,0","-2.55,1667,0,0","0.93,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
35,ELLIPSE_AP15_ML5_0.3HZ,MD3,0,"0.91,1667,0,0","-2.70,1667,0,0","3.39,1667,0,0","-3.68,1667,0,0","3.39,1667,0,0","-3.68,1667,0,0","3.39,1667,0,0","-2.70,1667,0,0","0.91,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
35,ELLIPSE_AP15_ML5_0.3HZ,MD4,0,"0.93,1667,0,0","-2.54,1667,0,0","3.68,1667,0,0","-3.39,1667,0,0","3.68,1667,0,0","-3.39,1667,0,0","3.68,1667,0,0","-2.54,1667,0,0","0.93,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
