MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11
30,DIAG-45_0.3HZ_A10,MD1,0,"0.15,1667,0,0","-0.52,1667,0,0","0.46,1667,0,0","-0.74,1667,0,0","0.46,1667,0,0","-0.74,1667,0,0","0.46,1667,0,0","-0.52,1667,0,0","0.15,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
30,DIAG-45_0.3HZ_A10,MD2,0,"-0.99,1667,0,0","2.87,1667,0,0","-3.80,1667,0,0","3.88,1667,0,0","-3.80,1667,0,0","3.88,1667,0,0","-3.80,1667,0,0","2.87,1667,0,0","-0.99,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
30,DIAG-45_0.3HZ_A10,MD3,0,"-1.02,1667,0,0","2.79,1667,0,0","-4.05,1667,0,0","3.72,1667,0,0","-4.05,1667,0,0","3.72,1667,0,0","-4.05,1667,0,0","2.79,1667,0,0","-1.02,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
30,DIAG-45_0.3HZ_A10,MD4,0,"0.16,1667,0,0","-0.45,1667,0,0","0.65,1667,0,0","-0.60,1667,0,0","0.65,1667,0,0","-0.60,1667,0,0","0.65,1667,0,0","-0.45,1667,0,0","0.16,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
