MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15
33,DIAG+45_0.5HZ_A20,MD1,0,"0.82,1000,0,0","-2.80,1000,0,0","5.04,1000,0,0","-7.24,1000,0,0","7.74,1000,0,0","-8.11,1000,0,0","7.74,1000,0,0","-8.11,1000,0,0","7.74,1000,0,0","-7.24,1000,0,0","5.04,1000,0,0","-2.80,1000,0,0","0.82,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
33,DIAG+45_0.5HZ_A20,MD2,0,"-0.10,1000,0,0","0.42,1000,0,0","-0.43,1000,0,0","1.34,1000,0,0","-0.48,1000,0,0","1.56,1000,0,0","-0.48,1000,0,0","1.56,1000,0,0","-0.48,1000,0,0","1.34,1000,0,0","-0.43,1000,0,0","0.42,1000,0,0","-0.10,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
33,DIAG+45_0.5HZ_A20,MD3,0,"-0.13,1000,0,0","0.26,1000,0,0","-1.11,1000,0,0","0.10,1000,0,0","-2.00,1000,0,0","-0.02,1000,0,0","-2.00,1000,0,0","-0.02,1000,0,0","-2.00,1000,0,0","0.10,1000,0,0","-1.11,1000,0,0","0.26,1000,0,0","-0.13,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
33,DIAG+45_0.5HZ_A20,MD4,0,"0.82,1000,0,0","-2.82,1000,0,0","5.00,1000,0,0","-7.28,1000,0,0","7.59,1000,0,0","-8.14,1000,0,0","7.59,1000,0,0","-8.14,1000,0,0","7.59,1000,0,0","-7.28,1000,0,0","5.00,1000,0,0","-2.82,1000,0,0","0.82,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
