MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17
17,ML_SINE_0.6HZ_A20,MD1,0,"0.35,833,0,0","-1.24,833,0,0","2.30,833,0,0","-3.63,833,0,0","4.15,833,0,0","-4.97,833,0,0","4.46,833,0,0","-4.97,833,0,0","4.46,833,0,0","-4.97,833,0,0","4.15,833,0,0","-3.63,833,0,0","2.30,833,0,0","-1.24,833,0,0","0.35,833,0,0","0.00,833,0,0","0.00,833,0,0"
17,ML_SINE_0.6HZ_A20,MD2,0,"0.35,833,0,0","-1.21,833,0,0","2.43,833,0,0","-3.36,833,0,0","4.59,833,0,0","-4.46,833,0,0","4.97,833,0,0","-4.46,833,0,0","4.97,833,0,0","-4.46,833,0,0","4.59,833,0,0","-3.36,833,0,0","2.43,833,0,0","-1.21,833,0,0","0.35,833,0,0","0.00,833,0,0","0.00,833,0,0"
17,ML_SINE_0.6HZ_A20,MD3,0,"0.35,833,0,0","-1.24,833,0,0","2.29,833,0,0","-3.63,833,0,0","4.13,833,0,0","-4.96,833,0,0","4.44,833,0,0","-4.96,833,0,0","4.44,833,0,0","-4.96,833,0,0","4.13,833,0,0","-3.63,833,0,0","2.29,833,0,0","-1.24,833,0,0","0.35,833,0,0","0.00,833,0,0","0.00,833,0,0"
17,ML_SINE_0.6HZ_A20,MD4,0,"0.35,833,0,0","-1.21,833,0,0","2.42,833,0,0","-3.35,833,0,0","4.58,833,0,0","-4.45,833,0,0","4.97,833,0,0","-4.45,833,0,0","4.97,833,0,0","-4.45,833,0,0","4.58,833,0,0","-3.35,833,0,0","2.42,833,0,0","-1.21,833,0,0","0.35,833,0,0","0.00,833,0,0","0.00,833,0,0"
