MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11
20,AP_SINE_0.3HZ_A10,MD1,0,"0.82,1667,0,0","-2.45,1667,0,0","3.10,1667,0,0","-3.34,1667,0,0","3.10,1667,0,0","-3.34,1667,0,0","3.10,1667,0,0","-2.45,1667,0,0","0.82,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
20,AP_SINE_0.3HZ_A10,MD2,0,"-0.79,1667,0,0","2.33,1667,0,0","-2.96,1667,0,0","3.18,1667,0,0","-2.96,1667,0,0","3.18,1667,0,0","-2.96,1667,0,0","2.33,1667,0,0","-0.79,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
20,AP_SINE_0.3HZ_A10,MD3,0,"-0.84,1667,0,0","2.12,1667,0,0","-3.46,1667,0,0","2.76,1667,0,0","-3.46,1667,0,0","2.76,1667,0,0","-3.46,1667,0,0","2.12,1667,0,0","-0.84,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
20,AP_SINE_0.3HZ_A10,MD4,0,"0.83,1667,0,0","-2.46,1667,0,0","3.12,1667,0,0","-3.34,1667,0,0","3.12,1667,0,0","-3.34,1667,0,0","3.12,1667,0,0","-2.46,1667,0,0","0.83,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
