MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19
50,Z_SINE_0.7HZ_A3,MD1,0,"-0.05,714,0,0","0.19,714,0,0","-0.37,714,0,0","0.57,714,0,0","-0.76,714,0,0","0.88,714,0,0","-0.96,714,0,0","0.93,714,0,0","-0.96,714,0,0","0.93,714,0,0","-0.96,714,0,0","0.88,714,0,0","-0.76,714,0,0","0.57,714,0,0","-0.37,714,0,0","0.19,714,0,0","-0.05,714,0,0","0.00,714,0,0","0.00,714,0,0"
50,Z_SINE_0.7HZ_A3,MD2,0,"0.05,714,0,0","-0.19,714,0,0","0.37,714,0,0","-0.57,714,0,0","0.76,714,0,0","-0.88,714,0,0","0.95,714,0,0","-0.93,714,0,0","0.95,714,0,0","-0.93,714,0,0","0.95,714,0,0","-0.88,714,0,0","0.76,714,0,0","-0.57,714,0,0","0.37,714,0,0","-0.19,714,0,0","0.05,714,0,0","0.00,714,0,0","0.00,714,0,0"
50,Z_SINE_0.7HZ_A3,MD3,0,"-0.05,714,0,0","0.19,714,0,0","-0.38,714,0,0","0.58,714,0,0","-0.77,714,0,0","0.89,714,0,0","-0.97,714,0,0","0.95,714,0,0","-0.97,714,0,0","0.95,714,0,0","-0.97,714,0,0","0.89,714,0,0","-0.77,714,0,0","0.58,714,0,0","-0.38,714,0,0","0.19,714,0,0","-0.05,714,0,0","0.00,714,0,0","0.00,714,0,0"
50,Z_SINE_0.7HZ_A3,MD4,0,"0.05,714,0,0","-0.19,714,0,0","0.38,714,0,0","-0.58,714,0,0","0.77,714,0,0","-0.89,714,0,0","0.97,714,0,0","-0.94,714,0,0","0.97,714,0,0","-0.94,714,0,0","0.97,714,0,0","-0.89,714,0,0","0.77,714,0,0","-0.58,714,0,0","0.38,714,0,0","-0.19,714,0,0","0.05,714,0,0","0.00,714,0,0","0.00,714,0,0"
