MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15
38,ELLIPSE_AP20_ML10_0.5HZ,MD1,0,"0.49,1000,0,0","-1.69,1000,0,0","2.95,1000,0,0","-4.43,1000,0,0","4.46,1000,0,0","-4.97,1000,0,0","4.46,1000,0,0","-4.97,1000,0,0","4.46,1000,0,0","-4.43,1000,0,0","2.95,1000,0,0","-1.69,1000,0,0","0.49,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
38,ELLIPSE_AP20_ML10_0.5HZ,MD2,0,"0.49,1000,0,0","-1.63,1000,0,0","3.17,1000,0,0","-4.02,1000,0,0","4.97,1000,0,0","-4.46,1000,0,0","4.97,1000,0,0","-4.46,1000,0,0","4.97,1000,0,0","-4.02,1000,0,0","3.17,1000,0,0","-1.63,1000,0,0","0.49,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
38,ELLIPSE_AP20_ML10_0.5HZ,MD3,0,"0.49,1000,0,0","-1.69,1000,0,0","2.94,1000,0,0","-4.42,1000,0,0","4.44,1000,0,0","-4.96,1000,0,0","4.44,1000,0,0","-4.96,1000,0,0","4.44,1000,0,0","-4.42,1000,0,0","2.94,1000,0,0","-1.69,1000,0,0","0.49,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
38,ELLIPSE_AP20_ML10_0.5HZ,MD4,0,"0.49,1000,0,0","-1.63,1000,0,0","3.16,1000,0,0","-4.01,1000,0,0","4.97,1000,0,0","-4.45,1000,0,0","4.97,1000,0,0","-4.45,1000,0,0","4.97,1000,0,0","-4.01,1000,0,0","3.16,1000,0,0","-1.63,1000,0,0","0.49,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
