MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19,P-Vector 20,P-Vector 21,P-Vector 22,P-Vector 23,P-Vector 24,P-Vector 25,P-Vector 26,P-Vector 27,P-Vector 28,P-Vector 29,P-Vector 30,P-Vector 31,P-Vector 32,P-Vector 33,P-Vector 34,P-Vector 35,P-Vector 36,P-Vector 37,P-Vector 38,P-Vector 39,P-Vector 40,P-Vector 41,P-Vector 42,P-Vector 43,P-Vector 44,P-Vector 45,P-Vector 46,P-Vector 47,P-Vector 48,P-Vector 49,P-Vector 50,P-Vector 51,P-Vector 52,P-Vector 53,P-Vector 54,P-Vector 55,P-Vector 56,P-Vector 57,P-Vector 58,P-Vector 59,P-Vector 60,P-Vector 61,P-Vector 62,P-Vector 63,P-Vector 64,P-Vector 65,P-Vector 66,P-Vector 67,P-Vector 68,P-Vector 69,P-Vector 70,P-Vector 71,P-Vector 72,P-Vector 73,P-Vector 74,P-Vector 75,P-Vector 76,P-Vector 77,P-Vector 78,P-Vector 79,P-Vector 80,P-Vector 81,P-Vector 82,P-Vector 83,P-Vector 84,P-Vector 85,P-Vector 86,P-Vector 87,P-Vector 88,P-Vector 89,P-Vector 90,P-Vector 91,P-Vector 92,P-Vector 93,P-Vector 94,P-Vector 95,P-Vector 96,P-Vector 97,P-Vector 98,P-Vector 99,P-Vector 100,P-Vector 101,P-Vector 102,P-Vector 103,P-Vector 104,P-Vector 105,P-Vector 106,P-Vector 107,P-Vector 108,P-Vector 109,P-Vector 110,P-Vector 111,P-Vector 112,P-Vector 113,P-Vector 114,P-Vector 115,P-Vector 116,P-Vector 117,P-Vector 118,P-Vector 119,P-Vector 120,P-Vector 121,P-Vector 122,P-Vector 123,P-Vector 124,P-Vector 125,P-Vector 126,P-Vector 127,P-Vector 128
7,TAPER_120,MD1,0,"0.26,1000,0,0","-0.89,1000,0,0","1.64,1000,0,0","-2.26,1000,0,0","2.53,1000,0,0","-2.53,1000,0,0","2.53,1000,0,0","-2.52,1000,0,0","2.52,1000,0,0","-2.52,1000,0,0","2.52,1000,0,0","-2.51,1000,0,0","2.51,1000,0,0","-2.50,1000,0,0","2.49,1000,0,0","-2.48,1000,0,0","2.48,1000,0,0","-2.47,1000,0,0","2.45,1000,0,0","-2.44,1000,0,0","2.43,1000,0,0","-2.42,1000,0,0","2.40,1000,0,0","-2.39,1000,0,0","2.37,1000,0,0","-2.36,1000,0,0","2.34,1000,0,0","-2.32,1000,0,0","2.30,1000,0,0","-2.28,1000,0,0","2.26,1000,0,0","-2.24,1000,0,0","2.22,1000,0,0","-2.20,1000,0,0","2.18,1000,0,0","-2.15,1000,0,0","2.13,1000,0,0","-2.11,1000,0,0","2.08,1000,0,0","-2.06,1000,0,0","2.03,1000,0,0","-2.01,1000,0,0","1.98,1000,0,0","-1.95,1000,0,0","1.93,1000,0,0","-1.90,1000,0,0","1.87,1000,0,0","-1.84,1000,0,0","1.81,1000,0,0","-1.78,1000,0,0","1.76,1000,0,0","-1.73,1000,0,0","1.70,1000,0,0","-1.67,1000,0,0","1.64,1000,0,0","-1.61,1000,0,0","1.58,1000,0,0","-1.54,1000,0,0","1.51,1000,0,0","-1.48,1000,0,0","1.45,1000,0,0","-1.42,1000,0,0","1.39,1000,0,0","-1.36,1000,0,0","1.33,1000,0,0","-1.29,1000,0,0","1.26,1000,0,0","-1.23,1000,0,0","1.20,1000,0,0","-1.17,1000,0,0","1.14,1000,0,0","-1.11,1000,0,0","1.07,1000,0,0","-1.04,1000,0,0","1.01,1000,0,0","-0.98,1000,0,0","0.95,1000,0,0","-0.92,1000,0,0","0.89,1000,0,0","-0.86,1000,0,0","0.83,1000,0,0","-0.80,1000,0,0","0.77,1000,0,0","-0.74,1000,0,0","0.71,1000,0,0","-0.68,1000,0,0","0.65,1000,0,0","-0.63,1000,0,0","0.60,1000,0,0","-0.57,1000,0,0","0.55,1000,0,0","-0.52,1000,0,0","0.49,1000,0,0","-0.47,1000,0,0","0.44,1000,0,0","-0.42,1000,0,0","0.39,1000,0,0","-0.37,1000,0,0","0.35,1000,0,0","-0.33,1000,0,0","0.30,1000,0,0","-0.28,1000,0,0","0.26,1000,0,0","-0.24,1000,0,0","0.22,1000,0,0","-0.20,1000,0,0","0.19,1000,0,0","-0.17,1000,0,0","0.15,1000,0,0","-0.14,1000,0,0","0.12,1000,0,0","-0.11,1000,0,0","0.10,1000,0,0","-0.08,1000,0,0","0.07,1000,0,0","-0.06,1000,0,0","0.05,1000,0,0","-0.04,1000,0,0","0.03,1000,0,0","-0.02,1000,0,0","0.02,1000,0,0","-0.01,1000,0,0","0.01,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
7,TAPER_120,MD2,0,"0.26,1000,0,0","-0.89,1000,0,0","1.64,1000,0,0","-2.26,1000,0,0","2.53,1000,0,0","-2.53,1000,0,0","2.53,1000,0,0","-2.52,1000,0,0","2.52,1000,0,0","-2.52,1000,0,0","2.52,1000,0,0","-2.51,1000,0,0","2.51,1000,0,0","-2.50,1000,0,0","2.49,1000,0,0","-2.48,1000,0,0","2.48,1000,0,0","-2.47,1000,0,0","2.45,1000,0,0","-2.44,1000,0,0","2.43,1000,0,0","-2.42,1000,0,0","2.40,1000,0,0","-2.39,1000,0,0","2.37,1000,0,0","-2.36,1000,0,0","2.34,1000,0,0","-2.32,1000,0,0","2.30,1000,0,0","-2.28,1000,0,0","2.26,1000,0,0","-2.24,1000,0,0","2.22,1000,0,0","-2.20,1000,0,0","2.18,1000,0,0","-2.15,1000,0,0","2.13,1000,0,0","-2.11,1000,0,0","2.08,1000,0,0","-2.06,1000,0,0","2.03,1000,0,0","-2.01,1000,0,0","1.98,1000,0,0","-1.95,1000,0,0","1.93,1000,0,0","-1.90,1000,0,0","1.87,1000,0,0","-1.84,1000,0,0","1.81,1000,0,0","-1.78,1000,0,0","1.76,1000,0,0","-1.73,1000,0,0","1.70,1000,0,0","-1.67,1000,0,0","1.64,1000,0,0","-1.61,1000,0,0","1.58,1000,0,0","-1.54,1000,0,0","1.51,1000,0,0","-1.48,1000,0,0","1.45,1000,0,0","-1.42,1000,0,0","1.39,1000,0,0","-1.36,1000,0,0","1.33,1000,0,0","-1.29,1000,0,0","1.26,1000,0,0","-1.23,1000,0,0","1.20,1000,0,0","-1.17,1000,0,0","1.14,1000,0,0","-1.11,1000,0,0","1.07,1000,0,0","-1.04,1000,0,0","1.01,1000,0,0","-0.98,1000,0,0","0.95,1000,0,0","-0.92,1000,0,0","0.89,1000,0,0","-0.86,1000,0,0","0.83,1000,0,0","-0.80,1000,0,0","0.77,1000,0,0","-0.74,1000,0,0","0.71,1000,0,0","-0.68,1000,0,0","0.65,1000,0,0","-0.63,1000,0,0","0.60,1000,0,0","-0.57,1000,0,0","0.55,1000,0,0","-0.52,1000,0,0","0.49,1000,0,0","-0.47,1000,0,0","0.44,1000,0,0","-0.42,1000,0,0","0.39,1000,0,0","-0.37,1000,0,0","0.35,1000,0,0","-0.33,1000,0,0","0.30,1000,0,0","-0.28,1000,0,0","0.26,1000,0,0","-0.24,1000,0,0","0.22,1000,0,0","-0.20,1000,0,0","0.19,1000,0,0","-0.17,1000,0,0","0.15,1000,0,0","-0.14,1000,0,0","0.12,1000,0,0","-0.11,1000,0,0","0.10,1000,0,0","-0.08,1000,0,0","0.07,1000,0,0","-0.06,1000,0,0","0.05,1000,0,0","-0.04,1000,0,0","0.03,1000,0,0","-0.02,1000,0,0","0.02,1000,0,0","-0.01,1000,0,0","0.01,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
7,TAPER_120,MD3,0,"0.26,1000,0,0","-0.89,1000,0,0","1.64,1000,0,0","-2.26,1000,0,0","2.53,1000,0,0","-2.53,1000,0,0","2.53,1000,0,0","-2.52,1000,0,0","2.52,1000,0,0","-2.52,1000,0,0","2.52,1000,0,0","-2.51,1000,0,0","2.51,1000,0,0","-2.50,1000,0,0","2.49,1000,0,0","-2.48,1000,0,0","2.48,1000,0,0","-2.47,1000,0,0","2.45,1000,0,0","-2.44,1000,0,0","2.43,1000,0,0","-2.42,1000,0,0","2.40,1000,0,0","-2.39,1000,0,0","2.37,1000,0,0","-2.36,1000,0,0","2.34,1000,0,0","-2.32,1000,0,0","2.30,1000,0,0","-2.28,1000,0,0","2.26,1000,0,0","-2.24,1000,0,0","2.22,1000,0,0","-2.20,1000,0,0","2.18,1000,0,0","-2.15,1000,0,0","2.13,1000,0,0","-2.11,1000,0,0","2.08,1000,0,0","-2.06,1000,0,0","2.03,1000,0,0","-2.01,1000,0,0","1.98,1000,0,0","-1.95,1000,0,0","1.93,1000,0,0","-1.90,1000,0,0","1.87,1000,0,0","-1.84,1000,0,0","1.81,1000,0,0","-1.78,1000,0,0","1.76,1000,0,0","-1.73,1000,0,0","1.70,1000,0,0","-1.67,1000,0,0","1.64,1000,0,0","-1.61,1000,0,0","1.58,1000,0,0","-1.54,1000,0,0","1.51,1000,0,0","-1.48,1000,0,0","1.45,1000,0,0","-1.42,1000,0,0","1.39,1000,0,0","-1.36,1000,0,0","1.33,1000,0,0","-1.29,1000,0,0","1.26,1000,0,0","-1.23,1000,0,0","1.20,1000,0,0","-1.17,1000,0,0","1.14,1000,0,0","-1.11,1000,0,0","1.07,1000,0,0","-1.04,1000,0,0","1.01,1000,0,0","-0.98,1000,0,0","0.95,1000,0,0","-0.92,1000,0,0","0.89,1000,0,0","-0.86,1000,0,0","0.83,1000,0,0","-0.80,1000,0,0","0.77,1000,0,0","-0.74,1000,0,0","0.71,1000,0,0","-0.68,1000,0,0","0.65,1000,0,0","-0.63,1000,0,0","0.60,1000,0,0","-0.57,1000,0,0","0.55,1000,0,0","-0.52,1000,0,0","0.49,1000,0,0","-0.47,1000,0,0","0.44,1000,0,0","-0.42,1000,0,0","0.39,1000,0,0","-0.37,1000,0,0","0.35,1000,0,0","-0.33,1000,0,0","0.30,1000,0,0","-0.28,1000,0,0","0.26,1000,0,0","-0.24,1000,0,0","0.22,1000,0,0","-0.20,1000,0,0","0.19,1000,0,0","-0.17,1000,0,0","0.15,1000,0,0","-0.14,1000,0,0","0.12,1000,0,0","-0.11,1000,0,0","0.10,1000,0,0","-0.08,1000,0,0","0.07,1000,0,0","-0.06,1000,0,0","0.05,1000,0,0","-0.04,1000,0,0","0.03,1000,0,0","-0.02,1000,0,0","0.02,1000,0,0","-0.01,1000,0,0","0.01,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
7,TAPER_120,MD4,0,"0.26,1000,0,0","-0.89,1000,0,0","1.64,1000,0,0","-2.26,1000,0,0","2.53,1000,0,0","-2.53,1000,0,0","2.53,1000,0,0","-2.52,1000,0,0","2.52,1000,0,0","-2.52,1000,0,0","2.52,1000,0,0","-2.51,1000,0,0","2.51,1000,0,0","-2.50,1000,0,0","2.49,1000,0,0","-2.48,1000,0,0","2.48,1000,0,0","-2.47,1000,0,0","2.45,1000,0,0","-2.44,1000,0,0","2.43,1000,0,0","-2.42,1000,0,0","2.40,1000,0,0","-2.39,1000,0,0","2.37,1000,0,0","-2.36,1000,0,0","2.34,1000,0,0","-2.32,1000,0,0","2.30,1000,0,0","-2.28,1000,0,0","2.26,1000,0,0","-2.24,1000,0,0","2.22,1000,0,0","-2.20,1000,0,0","2.18,1000,0,0","-2.15,1000,0,0","2.13,1000,0,0","-2.11,1000,0,0","2.08,1000,0,0","-2.06,1000,0,0","2.03,1000,0,0","-2.01,1000,0,0","1.98,1000,0,0","-1.95,1000,0,0","1.93,1000,0,0","-1.90,1000,0,0","1.87,1000,0,0","-1.84,1000,0,0","1.81,1000,0,0","-1.78,1000,0,0","1.76,1000,0,0","-1.73,1000,0,0","1.70,1000,0,0","-1.67,1000,0,0","1.64,1000,0,0","-1.61,1000,0,0","1.58,1000,0,0","-1.54,1000,0,0","1.51,1000,0,0","-1.48,1000,0,0","1.45,1000,0,0","-1.42,1000,0,0","1.39,1000,0,0","-1.36,1000,0,0","1.33,1000,0,0","-1.29,1000,0,0","1.26,1000,0,0","-1.23,1000,0,0","1.20,1000,0,0","-1.17,1000,0,0","1.14,1000,0,0","-1.11,1000,0,0","1.07,1000,0,0","-1.04,1000,0,0","1.01,1000,0,0","-0.98,1000,0,0","0.95,1000,0,0","-0.92,1000,0,0","0.89,1000,0,0","-0.86,1000,0,0","0.83,1000,0,0","-0.80,1000,0,0","0.77,1000,0,0","-0.74,1000,0,0","0.71,1000,0,0","-0.68,1000,0,0","0.65,1000,0,0","-0.63,1000,0,0","0.60,1000,0,0","-0.57,1000,0,0","0.55,1000,0,0","-0.52,1000,0,0","0.49,1000,0,0","-0.47,1000,0,0","0.44,1000,0,0","-0.42,1000,0,0","0.39,1000,0,0","-0.37,1000,0,0","0.35,1000,0,0","-0.33,1000,0,0","0.30,1000,0,0","-0.28,1000,0,0","0.26,1000,0,0","-0.24,1000,0,0","0.22,1000,0,0","-0.20,1000,0,0","0.19,1000,0,0","-0.17,1000,0,0","0.15,1000,0,0","-0.14,1000,0,0","0.12,1000,0,0","-0.11,1000,0,0","0.10,1000,0,0","-0.08,1000,0,0","0.07,1000,0,0","-0.06,1000,0,0","0.05,1000,0,0","-0.04,1000,0,0","0.03,1000,0,0","-0.02,1000,0,0","0.02,1000,0,0","-0.01,1000,0,0","0.01,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
