MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19
18,ML_SINE_0.7HZ_A20,MD1,0,"0.28,714,0,0","-1.00,714,0,0","1.99,714,0,0","-3.06,714,0,0","4.05,714,0,0","-4.77,714,0,0","5.05,714,0,0","-5.05,714,0,0","5.05,714,0,0","-5.05,714,0,0","5.05,714,0,0","-4.77,714,0,0","4.05,714,0,0","-3.06,714,0,0","1.99,714,0,0","-1.00,714,0,0","0.28,714,0,0","-0.00,714,0,0","0.00,714,0,0"
18,ML_SINE_0.7HZ_A20,MD2,0,"0.28,714,0,0","-1.00,714,0,0","1.99,714,0,0","-3.06,714,0,0","4.05,714,0,0","-4.77,714,0,0","5.05,714,0,0","-5.05,714,0,0","5.05,714,0,0","-5.05,714,0,0","5.05,714,0,0","-4.77,714,0,0","4.05,714,0,0","-3.06,714,0,0","1.99,714,0,0","-1.00,714,0,0","0.28,714,0,0","-0.00,714,0,0","0.00,714,0,0"
18,ML_SINE_0.7HZ_A20,MD3,0,"0.28,714,0,0","-1.00,714,0,0","1.99,714,0,0","-3.06,714,0,0","4.05,714,0,0","-4.77,714,0,0","5.05,714,0,0","-5.05,714,0,0","5.05,714,0,0","-5.05,714,0,0","5.05,714,0,0","-4.77,714,0,0","4.05,714,0,0","-3.06,714,0,0","1.99,714,0,0","-1.00,714,0,0","0.28,714,0,0","-0.00,714,0,0","0.00,714,0,0"
18,ML_SINE_0.7HZ_A20,MD4,0,"0.28,714,0,0","-1.00,714,0,0","1.99,714,0,0","-3.06,714,0,0","4.05,714,0,0","-4.77,714,0,0","5.05,714,0,0","-5.05,714,0,0","5.05,714,0,0","-5.05,714,0,0","5.05,714,0,0","-4.77,714,0,0","4.05,714,0,0","-3.06,714,0,0","1.99,714,0,0","-1.00,714,0,0","0.28,714,0,0","-0.00,714,0,0","0.00,714,0,0"
