MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17
23,AP_SINE_0.6HZ_A10,MD1,0,"0.24,833,0,0","-0.84,833,0,0","1.58,833,0,0","-2.45,833,0,0","2.88,833,0,0","-3.34,833,0,0","3.10,833,0,0","-3.34,833,0,0","3.10,833,0,0","-3.34,833,0,0","2.88,833,0,0","-2.45,833,0,0","1.58,833,0,0","-0.84,833,0,0","0.24,833,0,0","0.00,833,0,0","0.00,833,0,0"
23,AP_SINE_0.6HZ_A10,MD2,0,"-0.23,833,0,0","0.80,833,0,0","-1.51,833,0,0","2.33,833,0,0","-2.75,833,0,0","3.18,833,0,0","-2.96,833,0,0","3.18,833,0,0","-2.96,833,0,0","3.18,833,0,0","-2.75,833,0,0","2.33,833,0,0","-1.51,833,0,0","0.80,833,0,0","-0.23,833,0,0","0.00,833,0,0","0.00,833,0,0"
23,AP_SINE_0.6HZ_A10,MD3,0,"-0.23,833,0,0","0.79,833,0,0","-1.65,833,0,0","2.12,833,0,0","-3.19,833,0,0","2.76,833,0,0","-3.46,833,0,0","2.76,833,0,0","-3.46,833,0,0","2.76,833,0,0","-3.19,833,0,0","2.12,833,0,0","-1.65,833,0,0","0.79,833,0,0","-0.23,833,0,0","0.00,833,0,0","0.00,833,0,0"
23,AP_SINE_0.6HZ_A10,MD4,0,"0.24,833,0,0","-0.85,833,0,0","1.59,833,0,0","-2.46,833,0,0","2.90,833,0,0","-3.34,833,0,0","3.12,833,0,0","-3.34,833,0,0","3.12,833,0,0","-3.34,833,0,0","2.90,833,0,0","-2.46,833,0,0","1.59,833,0,0","-0.85,833,0,0","0.24,833,0,0","0.00,833,0,0","0.00,833,0,0"
