MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9
9,ML_SINE_0.2HZ_A10,MD1,0,"1.16,2500,0,0","-2.42,2500,0,0","2.30,2500,0,0","-2.42,2500,0,0","2.30,2500,0,0","-2.42,2500,0,0","1.16,2500,0,0","0.00,2500,0,0","0.00,2500,0,0"
9,ML_SINE_0.2HZ_A10,MD2,0,"1.20,2500,0,0","-2.30,2500,0,0","2.43,2500,0,0","-2.30,2500,0,0","2.43,2500,0,0","-2.30,2500,0,0","1.20,2500,0,0","0.00,2500,0,0","0.00,2500,0,0"
9,ML_SINE_0.2HZ_A10,MD3,0,"1.16,2500,0,0","-2.42,2500,0,0","2.29,2500,0,0","-2.42,2500,0,0","2.29,2500,0,0","-2.42,2500,0,0","1.16,2500,0,0","0.00,2500,0,0","0.00,2500,0,0"
9,ML_SINE_0.2HZ_A10,MD4,0,"1.20,2500,0,0","-2.29,2500,0,0","2.42,2500,0,0","-2.29,2500,0,0","2.42,2500,0,0","-2.29,2500,0,0","1.20,2500,0,0","0.00,2500,0,0","0.00,2500,0,0"
