MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13
11,ML_SINE_0.4HZ_A10,MD1,0,"0.37,1250,0,0","-1.20,1250,0,0","1.95,1250,0,0","-2.42,1250,0,0","2.30,1250,0,0","-2.42,1250,0,0","2.30,1250,0,0","-2.42,1250,0,0","1.95,1250,0,0","-1.20,1250,0,0","0.37,1250,0,0","0.00,1250,0,0","0.00,1250,0,0"
11,ML_SINE_0.4HZ_A10,MD2,0,"0.37,1250,0,0","-1.17,1250,0,0","2.04,1250,0,0","-2.30,1250,0,0","2.43,1250,0,0","-2.30,1250,0,0","2.43,1250,0,0","-2.30,1250,0,0","2.04,1250,0,0","-1.17,1250,0,0","0.37,1250,0,0","0.00,1250,0,0","0.00,1250,0,0"
11,ML_SINE_0.4HZ_A10,MD3,0,"0.37,1250,0,0","-1.19,1250,0,0","1.94,1250,0,0","-2.42,1250,0,0","2.29,1250,0,0","-2.42,1250,0,0","2.29,1250,0,0","-2.42,1250,0,0","1.94,1250,0,0","-1.19,1250,0,0","0.37,1250,0,0","0.00,1250,0,0","0.00,1250,0,0"
11,ML_SINE_0.4HZ_A10,MD4,0,"0.37,1250,0,0","-1.16,1250,0,0","2.04,1250,0,0","-2.29,1250,0,0","2.42,1250,0,0","-2.29,1250,0,0","2.42,1250,0,0","-2.29,1250,0,0","2.04,1250,0,0","-1.16,1250,0,0","0.37,1250,0,0","0.00,1250,0,0","0.00,1250,0,0"
