MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11
29,DIAG+45_0.3HZ_A10,MD1,0,"1.02,1667,0,0","-2.95,1667,0,0","3.90,1667,0,0","-3.99,1667,0,0","3.90,1667,0,0","-3.99,1667,0,0","3.90,1667,0,0","-2.95,1667,0,0","1.02,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
29,DIAG+45_0.3HZ_A10,MD2,0,"-0.12,1667,0,0","0.44,1667,0,0","-0.37,1667,0,0","0.63,1667,0,0","-0.37,1667,0,0","0.63,1667,0,0","-0.37,1667,0,0","0.44,1667,0,0","-0.12,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
29,DIAG+45_0.3HZ_A10,MD3,0,"-0.16,1667,0,0","0.26,1667,0,0","-0.79,1667,0,0","0.28,1667,0,0","-0.79,1667,0,0","0.28,1667,0,0","-0.79,1667,0,0","0.26,1667,0,0","-0.16,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
29,DIAG+45_0.3HZ_A10,MD4,0,"1.02,1667,0,0","-2.97,1667,0,0","3.88,1667,0,0","-4.02,1667,0,0","3.88,1667,0,0","-4.02,1667,0,0","3.88,1667,0,0","-2.97,1667,0,0","1.02,1667,0,0","0.00,1667,0,0","0.00,1667,0,0"
