MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15
36,ELLIPSE_AP15_ML5_0.5HZ,MD1,0,"0.39,1000,0,0","-1.33,1000,0,0","2.45,1000,0,0","-3.39,1000,0,0","3.79,1000,0,0","-3.79,1000,0,0","3.79,1000,0,0","-3.79,1000,0,0","3.79,1000,0,0","-3.39,1000,0,0","2.45,1000,0,0","-1.33,1000,0,0","0.39,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0"
36,ELLIPSE_AP15_ML5_0.5HZ,MD2,0,"0.39,1000,0,0","-1.33,1000,0,0","2.45,1000,0,0","-3.39,1000,0,0","3.79,1000,0,0","-3.79,1000,0,0","3.79,1000,0,0","-3.79,1000,0,0","3.79,1000,0,0","-3.39,1000,0,0","2.45,1000,0,0","-1.33,1000,0,0","0.39,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0"
36,ELLIPSE_AP15_ML5_0.5HZ,MD3,0,"0.39,1000,0,0","-1.33,1000,0,0","2.45,1000,0,0","-3.39,1000,0,0","3.79,1000,0,0","-3.79,1000,0,0","3.79,1000,0,0","-3.79,1000,0,0","3.79,1000,0,0","-3.39,1000,0,0","2.45,1000,0,0","-1.33,1000,0,0","0.39,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0"
36,ELLIPSE_AP15_ML5_0.5HZ,MD4,0,"0.39,1000,0,0","-1.33,1000,0,0","2.45,1000,0,0","-3.39,1000,0,0","3.79,1000,0,0","-3.79,1000,0,0","3.79,1000,0,0","-3.79,1000,0,0","3.79,1000,0,0","-3.39,1000,0,0","2.45,1000,0,0","-1.33,1000,0,0","0.39,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0"
