MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19,P-Vector 20,P-Vector 21,P-Vector 22,P-Vector 23,P-Vector 24,P-Vector 25,P-Vector 26,P-Vector 27,P-Vector 28,P-Vector 29,P-Vector 30,P-Vector 31,P-Vector 32,P-Vector 33,P-Vector 34,P-Vector 35,P-Vector 36,P-Vector 37,P-Vector 38,P-Vector 39,P-Vector 40,P-Vector 41,P-Vector 42,P-Vector 43,P-Vector 44,P-Vector 45,P-Vector 46,P-Vector 47,P-Vector 48,P-Vector 49,P-Vector 50,P-Vector 51,P-Vector 52,P-Vector 53,P-Vector 54,P-Vector 55,P-Vector 56,P-Vector 57,P-Vector 58,P-Vector 59,P-Vector 60,P-Vector 61,P-Vector 62,P-Vector 63,P-Vector 64,P-Vector 65,P-Vector 66,P-Vector 67,P-Vector 68
6,TAPER_60,MD1,0,"0.24,1000,0,0","-0.84,1000,0,0","1.50,1000,0,0","-2.17,1000,0,0","2.30,1000,0,0","-2.42,1000,0,0","2.30,1000,0,0","-2.42,1000,0,0","2.29,1000,0,0","-2.41,1000,0,0","2.27,1000,0,0","-2.38,1000,0,0","2.23,1000,0,0","-2.33,1000,0,0","2.19,1000,0,0","-2.27,1000,0,0","2.13,1000,0,0","-2.20,1000,0,0","2.06,1000,0,0","-2.13,1000,0,0","1.99,1000,0,0","-2.04,1000,0,0","1.90,1000,0,0","-1.94,1000,0,0","1.81,1000,0,0","-1.84,1000,0,0","1.71,1000,0,0","-1.73,1000,0,0","1.61,1000,0,0","-1.62,1000,0,0","1.50,1000,0,0","-1.50,1000,0,0","1.39,1000,0,0","-1.38,1000,0,0","1.28,1000,0,0","-1.26,1000,0,0","1.16,1000,0,0","-1.14,1000,0,0","1.05,1000,0,0","-1.02,1000,0,0","0.94,1000,0,0","-0.90,1000,0,0","0.82,1000,0,0","-0.78,1000,0,0","0.71,1000,0,0","-0.67,1000,0,0","0.61,1000,0,0","-0.56,1000,0,0","0.51,1000,0,0","-0.46,1000,0,0","0.41,1000,0,0","-0.37,1000,0,0","0.32,1000,0,0","-0.29,1000,0,0","0.24,1000,0,0","-0.21,1000,0,0","0.17,1000,0,0","-0.14,1000,0,0","0.11,1000,0,0","-0.09,1000,0,0","0.07,1000,0,0","-0.05,1000,0,0","0.03,1000,0,0","-0.02,1000,0,0","0.01,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
6,TAPER_60,MD2,0,"0.25,1000,0,0","-0.82,1000,0,0","1.56,1000,0,0","-2.07,1000,0,0","2.43,1000,0,0","-2.30,1000,0,0","2.43,1000,0,0","-2.30,1000,0,0","2.42,1000,0,0","-2.28,1000,0,0","2.39,1000,0,0","-2.25,1000,0,0","2.36,1000,0,0","-2.21,1000,0,0","2.30,1000,0,0","-2.16,1000,0,0","2.24,1000,0,0","-2.10,1000,0,0","2.17,1000,0,0","-2.03,1000,0,0","2.08,1000,0,0","-1.95,1000,0,0","1.99,1000,0,0","-1.86,1000,0,0","1.89,1000,0,0","-1.76,1000,0,0","1.78,1000,0,0","-1.66,1000,0,0","1.67,1000,0,0","-1.56,1000,0,0","1.56,1000,0,0","-1.45,1000,0,0","1.44,1000,0,0","-1.34,1000,0,0","1.32,1000,0,0","-1.22,1000,0,0","1.20,1000,0,0","-1.11,1000,0,0","1.08,1000,0,0","-0.99,1000,0,0","0.96,1000,0,0","-0.88,1000,0,0","0.84,1000,0,0","-0.77,1000,0,0","0.73,1000,0,0","-0.66,1000,0,0","0.62,1000,0,0","-0.56,1000,0,0","0.51,1000,0,0","-0.46,1000,0,0","0.42,1000,0,0","-0.37,1000,0,0","0.33,1000,0,0","-0.28,1000,0,0","0.25,1000,0,0","-0.21,1000,0,0","0.18,1000,0,0","-0.14,1000,0,0","0.11,1000,0,0","-0.09,1000,0,0","0.07,1000,0,0","-0.05,1000,0,0","0.03,1000,0,0","-0.02,1000,0,0","0.01,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
6,TAPER_60,MD3,0,"0.24,1000,0,0","-0.84,1000,0,0","1.50,1000,0,0","-2.16,1000,0,0","2.29,1000,0,0","-2.42,1000,0,0","2.29,1000,0,0","-2.42,1000,0,0","2.28,1000,0,0","-2.40,1000,0,0","2.26,1000,0,0","-2.37,1000,0,0","2.23,1000,0,0","-2.33,1000,0,0","2.18,1000,0,0","-2.27,1000,0,0","2.13,1000,0,0","-2.20,1000,0,0","2.06,1000,0,0","-2.12,1000,0,0","1.98,1000,0,0","-2.03,1000,0,0","1.90,1000,0,0","-1.94,1000,0,0","1.81,1000,0,0","-1.83,1000,0,0","1.71,1000,0,0","-1.73,1000,0,0","1.61,1000,0,0","-1.61,1000,0,0","1.50,1000,0,0","-1.50,1000,0,0","1.39,1000,0,0","-1.38,1000,0,0","1.28,1000,0,0","-1.26,1000,0,0","1.16,1000,0,0","-1.13,1000,0,0","1.05,1000,0,0","-1.01,1000,0,0","0.93,1000,0,0","-0.90,1000,0,0","0.82,1000,0,0","-0.78,1000,0,0","0.71,1000,0,0","-0.67,1000,0,0","0.61,1000,0,0","-0.56,1000,0,0","0.51,1000,0,0","-0.46,1000,0,0","0.41,1000,0,0","-0.37,1000,0,0","0.32,1000,0,0","-0.28,1000,0,0","0.24,1000,0,0","-0.21,1000,0,0","0.17,1000,0,0","-0.14,1000,0,0","0.11,1000,0,0","-0.09,1000,0,0","0.07,1000,0,0","-0.05,1000,0,0","0.03,1000,0,0","-0.02,1000,0,0","0.01,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
6,TAPER_60,MD4,0,"0.25,1000,0,0","-0.82,1000,0,0","1.56,1000,0,0","-2.06,1000,0,0","2.42,1000,0,0","-2.29,1000,0,0","2.42,1000,0,0","-2.29,1000,0,0","2.41,1000,0,0","-2.28,1000,0,0","2.39,1000,0,0","-2.25,1000,0,0","2.35,1000,0,0","-2.21,1000,0,0","2.30,1000,0,0","-2.16,1000,0,0","2.24,1000,0,0","-2.10,1000,0,0","2.16,1000,0,0","-2.02,1000,0,0","2.08,1000,0,0","-1.94,1000,0,0","1.99,1000,0,0","-1.86,1000,0,0","1.89,1000,0,0","-1.76,1000,0,0","1.78,1000,0,0","-1.66,1000,0,0","1.67,1000,0,0","-1.56,1000,0,0","1.56,1000,0,0","-1.45,1000,0,0","1.44,1000,0,0","-1.33,1000,0,0","1.32,1000,0,0","-1.22,1000,0,0","1.20,1000,0,0","-1.11,1000,0,0","1.07,1000,0,0","-0.99,1000,0,0","0.96,1000,0,0","-0.88,1000,0,0","0.84,1000,0,0","-0.77,1000,0,0","0.72,1000,0,0","-0.66,1000,0,0","0.62,1000,0,0","-0.56,1000,0,0","0.51,1000,0,0","-0.46,1000,0,0","0.42,1000,0,0","-0.37,1000,0,0","0.33,1000,0,0","-0.28,1000,0,0","0.25,1000,0,0","-0.21,1000,0,0","0.18,1000,0,0","-0.14,1000,0,0","0.11,1000,0,0","-0.09,1000,0,0","0.07,1000,0,0","-0.05,1000,0,0","0.03,1000,0,0","-0.02,1000,0,0","0.01,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
