MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13
31,DIAG+45_0.4HZ_A15,MD1,0,"0.59,1250,0,0","-1.89,1250,0,0","3.20,1250,0,0","-3.79,1250,0,0","3.79,1250,0,0","-3.79,1250,0,0","3.79,1250,0,0","-3.79,1250,0,0","3.20,1250,0,0","-1.89,1250,0,0","0.59,1250,0,0","-0.00,1250,0,0","0.00,1250,0,0"
31,DIAG+45_0.4HZ_A15,MD2,0,"0.59,1250,0,0","-1.89,1250,0,0","3.20,1250,0,0","-3.79,1250,0,0","3.79,1250,0,0","-3.79,1250,0,0","3.79,1250,0,0","-3.79,1250,0,0","3.20,1250,0,0","-1.89,1250,0,0","0.59,1250,0,0","-0.00,1250,0,0","0.00,1250,0,0"
31,DIAG+45_0.4HZ_A15,MD3,0,"0.59,1250,0,0","-1.89,1250,0,0","3.20,1250,0,0","-3.79,1250,0,0","3.79,1250,0,0","-3.79,1250,0,0","3.79,1250,0,0","-3.79,1250,0,0","3.20,1250,0,0","-1.89,1250,0,0","0.59,1250,0,0","-0.00,1250,0,0","0.00,1250,0,0"
31,DIAG+45_0.4HZ_A15,MD4,0,"0.59,1250,0,0","-1.89,1250,0,0","3.20,1250,0,0","-3.79,1250,0,0","3.79,1250,0,0","-3.79,1250,0,0","3.79,1250,0,0","-3.79,1250,0,0","3.20,1250,0,0","-1.89,1250,0,0","0.59,1250,0,0","-0.00,1250,0,0","0.00,1250,0,0"
