MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19,P-Vector 20,P-Vector 21
15,ML_SINE_0.8HZ_A10,MD1,0,"0.10,625,0,0","-0.37,625,0,0","0.74,625,0,0","-1.20,625,0,0","1.58,625,0,0","-2.04,625,0,0","2.20,625,0,0","-2.42,625,0,0","2.30,625,0,0","-2.42,625,0,0","2.30,625,0,0","-2.42,625,0,0","2.20,625,0,0","-2.04,625,0,0","1.58,625,0,0","-1.20,625,0,0","0.74,625,0,0","-0.37,625,0,0","0.10,625,0,0","0.00,625,0,0","0.00,625,0,0"
15,ML_SINE_0.8HZ_A10,MD2,0,"0.10,625,0,0","-0.37,625,0,0","0.75,625,0,0","-1.17,625,0,0","1.64,625,0,0","-1.95,625,0,0","2.32,625,0,0","-2.30,625,0,0","2.43,625,0,0","-2.30,625,0,0","2.43,625,0,0","-2.30,625,0,0","2.32,625,0,0","-1.95,625,0,0","1.64,625,0,0","-1.17,625,0,0","0.75,625,0,0","-0.37,625,0,0","0.10,625,0,0","0.00,625,0,0","0.00,625,0,0"
15,ML_SINE_0.8HZ_A10,MD3,0,"0.10,625,0,0","-0.37,625,0,0","0.74,625,0,0","-1.19,625,0,0","1.58,625,0,0","-2.03,625,0,0","2.20,625,0,0","-2.42,625,0,0","2.29,625,0,0","-2.42,625,0,0","2.29,625,0,0","-2.42,625,0,0","2.20,625,0,0","-2.03,625,0,0","1.58,625,0,0","-1.19,625,0,0","0.74,625,0,0","-0.37,625,0,0","0.10,625,0,0","0.00,625,0,0","0.00,625,0,0"
15,ML_SINE_0.8HZ_A10,MD4,0,"0.10,625,0,0","-0.37,625,0,0","0.75,625,0,0","-1.16,625,0,0","1.64,625,0,0","-1.94,625,0,0","2.32,625,0,0","-2.29,625,0,0","2.42,625,0,0","-2.29,625,0,0","2.42,625,0,0","-2.29,625,0,0","2.32,625,0,0","-1.94,625,0,0","1.64,625,0,0","-1.16,625,0,0","0.75,625,0,0","-0.37,625,0,0","0.10,625,0,0","0.00,625,0,0","0.00,625,0,0"
