MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19
24,AP_SINE_0.7HZ_A10,MD1,0,"0.18,714,0,0","-0.64,714,0,0","1.25,714,0,0","-1.99,714,0,0","2.50,714,0,0","-3.15,714,0,0","3.10,714,0,0","-3.34,714,0,0","3.10,714,0,0","-3.34,714,0,0","3.10,714,0,0","-3.15,714,0,0","2.50,714,0,0","-1.99,714,0,0","1.25,714,0,0","-0.64,714,0,0","0.18,714,0,0","0.00,714,0,0","0.00,714,0,0"
24,AP_SINE_0.7HZ_A10,MD2,0,"-0.17,714,0,0","0.61,714,0,0","-1.19,714,0,0","1.90,714,0,0","-2.39,714,0,0","3.00,714,0,0","-2.96,714,0,0","3.18,714,0,0","-2.96,714,0,0","3.18,714,0,0","-2.96,714,0,0","3.00,714,0,0","-2.39,714,0,0","1.90,714,0,0","-1.19,714,0,0","0.61,714,0,0","-0.17,714,0,0","0.00,714,0,0","0.00,714,0,0"
24,AP_SINE_0.7HZ_A10,MD3,0,"-0.18,714,0,0","0.61,714,0,0","-1.29,714,0,0","1.77,714,0,0","-2.73,714,0,0","2.63,714,0,0","-3.46,714,0,0","2.76,714,0,0","-3.46,714,0,0","2.76,714,0,0","-3.46,714,0,0","2.63,714,0,0","-2.73,714,0,0","1.77,714,0,0","-1.29,714,0,0","0.61,714,0,0","-0.18,714,0,0","0.00,714,0,0","0.00,714,0,0"
24,AP_SINE_0.7HZ_A10,MD4,0,"0.18,714,0,0","-0.65,714,0,0","1.26,714,0,0","-2.00,714,0,0","2.52,714,0,0","-3.15,714,0,0","3.12,714,0,0","-3.34,714,0,0","3.12,714,0,0","-3.34,714,0,0","3.12,714,0,0","-3.15,714,0,0","2.52,714,0,0","-2.00,714,0,0","1.26,714,0,0","-0.65,714,0,0","0.18,714,0,0","0.00,714,0,0","0.00,714,0,0"
