MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15
26,AP_SINE_0.5HZ_A20,MD1,0,"0.66,1000,0,0","-2.32,1000,0,0","3.98,1000,0,0","-6.22,1000,0,0","6.01,1000,0,0","-7.02,1000,0,0","6.01,1000,0,0","-7.02,1000,0,0","6.01,1000,0,0","-6.22,1000,0,0","3.98,1000,0,0","-2.32,1000,0,0","0.66,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
26,AP_SINE_0.5HZ_A20,MD2,0,"-0.63,1000,0,0","2.22,1000,0,0","-3.81,1000,0,0","5.91,1000,0,0","-5.76,1000,0,0","6.66,1000,0,0","-5.76,1000,0,0","6.66,1000,0,0","-5.76,1000,0,0","5.91,1000,0,0","-3.81,1000,0,0","2.22,1000,0,0","-0.63,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
26,AP_SINE_0.5HZ_A20,MD3,0,"-0.67,1000,0,0","2.03,1000,0,0","-4.59,1000,0,0","4.35,1000,0,0","-7.43,1000,0,0","4.67,1000,0,0","-7.43,1000,0,0","4.67,1000,0,0","-7.43,1000,0,0","4.35,1000,0,0","-4.59,1000,0,0","2.03,1000,0,0","-0.67,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
26,AP_SINE_0.5HZ_A20,MD4,0,"0.67,1000,0,0","-2.33,1000,0,0","3.99,1000,0,0","-6.09,1000,0,0","5.96,1000,0,0","-6.83,1000,0,0","5.96,1000,0,0","-6.83,1000,0,0","5.96,1000,0,0","-6.09,1000,0,0","3.99,1000,0,0","-2.33,1000,0,0","0.67,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
