MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15
22,AP_SINE_0.5HZ_A10,MD1,0,"0.33,1000,0,0","-1.15,1000,0,0","2.03,1000,0,0","-2.98,1000,0,0","3.10,1000,0,0","-3.34,1000,0,0","3.10,1000,0,0","-3.34,1000,0,0","3.10,1000,0,0","-2.98,1000,0,0","2.03,1000,0,0","-1.15,1000,0,0","0.33,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
22,AP_SINE_0.5HZ_A10,MD2,0,"-0.32,1000,0,0","1.09,1000,0,0","-1.94,1000,0,0","2.84,1000,0,0","-2.96,1000,0,0","3.18,1000,0,0","-2.96,1000,0,0","3.18,1000,0,0","-2.96,1000,0,0","2.84,1000,0,0","-1.94,1000,0,0","1.09,1000,0,0","-0.32,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
22,AP_SINE_0.5HZ_A10,MD3,0,"-0.33,1000,0,0","1.06,1000,0,0","-2.17,1000,0,0","2.51,1000,0,0","-3.46,1000,0,0","2.76,1000,0,0","-3.46,1000,0,0","2.76,1000,0,0","-3.46,1000,0,0","2.51,1000,0,0","-2.17,1000,0,0","1.06,1000,0,0","-0.33,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
22,AP_SINE_0.5HZ_A10,MD4,0,"0.34,1000,0,0","-1.15,1000,0,0","2.05,1000,0,0","-2.98,1000,0,0","3.12,1000,0,0","-3.34,1000,0,0","3.12,1000,0,0","-3.34,1000,0,0","3.12,1000,0,0","-2.98,1000,0,0","2.05,1000,0,0","-1.15,1000,0,0","0.34,1000,0,0","0.00,1000,0,0","0.00,1000,0,0"
