MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13
32,DIAG-45_0.4HZ_A15,MD1,0,"0.13,1250,0,0","-0.53,1250,0,0","0.54,1250,0,0","-1.23,1250,0,0","0.59,1250,0,0","-1.23,1250,0,0","0.59,1250,0,0","-1.23,1250,0,0","0.54,1250,0,0","-0.53,1250,0,0","0.13,1250,0,0","0.00,1250,0,0","0.00,1250,0,0"
32,DIAG-45_0.4HZ_A15,MD2,0,"-0.90,1250,0,0","2.90,1250,0,0","-4.80,1250,0,0","5.87,1250,0,0","-5.68,1250,0,0","5.87,1250,0,0","-5.68,1250,0,0","5.87,1250,0,0","-4.80,1250,0,0","2.90,1250,0,0","-0.90,1250,0,0","0.00,1250,0,0","0.00,1250,0,0"
32,DIAG-45_0.4HZ_A15,MD3,0,"-0.92,1250,0,0","2.82,1250,0,0","-5.17,1250,0,0","5.45,1250,0,0","-6.18,1250,0,0","5.45,1250,0,0","-6.18,1250,0,0","5.45,1250,0,0","-5.17,1250,0,0","2.82,1250,0,0","-0.92,1250,0,0","0.00,1250,0,0","0.00,1250,0,0"
32,DIAG-45_0.4HZ_A15,MD4,0,"0.15,1250,0,0","-0.45,1250,0,0","0.83,1250,0,0","-0.88,1250,0,0","0.99,1250,0,0","-0.88,1250,0,0","0.99,1250,0,0","-0.88,1250,0,0","0.83,1250,0,0","-0.45,1250,0,0","0.15,1250,0,0","0.00,1250,0,0","0.00,1250,0,0"
