MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15
16,ML_SINE_0.5HZ_A20,MD1,0,"0.53,1000,0,0","-1.78,1000,0,0","3.27,1000,0,0","-4.53,1000,0,0","5.05,1000,0,0","-5.05,1000,0,0","5.05,1000,0,0","-5.05,1000,0,0","5.05,1000,0,0","-4.53,1000,0,0","3.27,1000,0,0","-1.78,1000,0,0","0.53,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0"
16,ML_SINE_0.5HZ_A20,MD2,0,"0.53,1000,0,0","-1.78,1000,0,0","3.27,1000,0,0","-4.53,1000,0,0","5.05,1000,0,0","-5.05,1000,0,0","5.05,1000,0,0","-5.05,1000,0,0","5.05,1000,0,0","-4.53,1000,0,0","3.27,1000,0,0","-1.78,1000,0,0","0.53,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0"
16,ML_SINE_0.5HZ_A20,MD3,0,"0.53,1000,0,0","-1.78,1000,0,0","3.27,1000,0,0","-4.53,1000,0,0","5.05,1000,0,0","-5.05,1000,0,0","5.05,1000,0,0","-5.05,1000,0,0","5.05,1000,0,0","-4.53,1000,0,0","3.27,1000,0,0","-1.78,1000,0,0","0.53,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0"
16,ML_SINE_0.5HZ_A20,MD4,0,"0.53,1000,0,0","-1.78,1000,0,0","3.27,1000,0,0","-4.53,1000,0,0","5.05,1000,0,0","-5.05,1000,0,0","5.05,1000,0,0","-5.05,1000,0,0","5.05,1000,0,0","-4.53,1000,0,0","3.27,1000,0,0","-1.78,1000,0,0","0.53,1000,0,0","-0.00,1000,0,0","0.00,1000,0,0"
