MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16
47,ADAPTIVE_F,MD1,0,"0.61,1667,0,0","-1.78,1667,0,0","2.30,1667,0,0","-2.42,1667,0,0","2.30,1667,0,0","-2.42,1667,0,0","2.30,1667,0,0","-2.42,1000,0,0","2.30,1000,0,0","-2.42,1000,0,0","2.30,1000,0,0","-2.42,714,0,0","2.30,714,0,0","-2.42,714,0,0","2.30,714,0,0","0.00,714,0,0"
47,ADAPTIVE_F,MD2,0,"0.62,1667,0,0","-1.72,1667,0,0","2.43,1667,0,0","-2.30,1667,0,0","2.43,1667,0,0","-2.30,1667,0,0","2.43,1667,0,0","-2.30,1000,0,0","2.43,1000,0,0","-2.30,1000,0,0","2.43,1000,0,0","-2.30,714,0,0","2.43,714,0,0","-2.30,714,0,0","2.43,714,0,0","0.00,714,0,0"
47,ADAPTIVE_F,MD3,0,"0.61,1667,0,0","-1.78,1667,0,0","2.29,1667,0,0","-2.42,1667,0,0","2.29,1667,0,0","-2.42,1667,0,0","2.29,1667,0,0","-2.42,1000,0,0","2.29,1000,0,0","-2.42,1000,0,0","2.29,1000,0,0","-2.42,714,0,0","2.29,714,0,0","-2.42,714,0,0","2.29,714,0,0","0.00,714,0,0"
47,ADAPTIVE_F,MD4,0,"0.62,1667,0,0","-1.71,1667,0,0","2.42,1667,0,0","-2.29,1667,0,0","2.42,1667,0,0","-2.29,1667,0,0","2.42,1667,0,0","-2.29,1000,0,0","2.42,1000,0,0","-2.29,1000,0,0","2.42,1000,0,0","-2.29,714,0,0","2.42,714,0,0","-2.29,714,0,0","2.42,714,0,0","0.00,714,0,0"
