MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17
45,PSEUDO_WALK,MD1,0,"0.19,909,0,0","-0.65,909,0,0","1.26,909,0,0","-1.87,909,0,0","2.34,909,0,0","-2.53,909,0,0","2.53,909,0,0","-2.53,909,0,0","2.53,909,0,0","-2.53,909,0,0","2.34,909,0,0","-1.87,909,0,0","1.26,909,0,0","-0.65,909,0,0","0.19,909,0,0","-0.00,909,0,0","0.00,909,0,0"
45,PSEUDO_WALK,MD2,0,"0.19,909,0,0","-0.65,909,0,0","1.26,909,0,0","-1.87,909,0,0","2.34,909,0,0","-2.53,909,0,0","2.53,909,0,0","-2.53,909,0,0","2.53,909,0,0","-2.53,909,0,0","2.34,909,0,0","-1.87,909,0,0","1.26,909,0,0","-0.65,909,0,0","0.19,909,0,0","-0.00,909,0,0","0.00,909,0,0"
45,PSEUDO_WALK,MD3,0,"0.19,909,0,0","-0.65,909,0,0","1.26,909,0,0","-1.87,909,0,0","2.34,909,0,0","-2.53,909,0,0","2.53,909,0,0","-2.53,909,0,0","2.53,909,0,0","-2.53,909,0,0","2.34,909,0,0","-1.87,909,0,0","1.26,909,0,0","-0.65,909,0,0","0.19,909,0,0","-0.00,909,0,0","0.00,909,0,0"
45,PSEUDO_WALK,MD4,0,"0.19,909,0,0","-0.65,909,0,0","1.26,909,0,0","-1.87,909,0,0","2.34,909,0,0","-2.53,909,0,0","2.53,909,0,0","-2.53,909,0,0","2.53,909,0,0","-2.53,909,0,0","2.34,909,0,0","-1.87,909,0,0","1.26,909,0,0","-0.65,909,0,0","0.19,909,0,0","-0.00,909,0,0","0.00,909,0,0"
