MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19,P-Vector 20,P-Vector 21,P-Vector 22,P-Vector 23,P-Vector 24,P-Vector 25,P-Vector 26,P-Vector 27,P-Vector 28,P-Vector 29,P-Vector 30,P-Vector 31,P-Vector 32,P-Vector 33,P-Vector 34,P-Vector 35,P-Vector 36,P-Vector 37,P-Vector 38,P-Vector 39,P-Vector 40,P-Vector 41,P-Vector 42,P-Vector 43,P-Vector 44,P-Vector 45,P-Vector 46,P-Vector 47,P-Vector 48,P-Vector 49,P-Vector 50,P-Vector 51,P-Vector 52,P-Vector 53,P-Vector 54,P-Vector 55,P-Vector 56,P-Vector 57,P-Vector 58,P-Vector 59,P-Vector 60,P-Vector 61,P-Vector 62,P-Vector 63,P-Vector 64,P-Vector 65,P-Vector 66,P-Vector 67,P-Vector 68,P-Vector 69,P-Vector 70,P-Vector 71,P-Vector 72,P-Vector 73,P-Vector 74,P-Vector 75,P-Vector 76,P-Vector 77,P-Vector 78,P-Vector 79,P-Vector 80,P-Vector 81,P-Vector 82,P-Vector 83
27,ELLIPSE_LS,MD1,0,"-0.00,250,0,0","0.06,250,0,0","0.27,250,0,0","0.58,250,0,0","0.87,250,0,0","0.94,250,0,0","0.61,250,0,0","-0.19,250,0,0","-1.35,250,0,0","-2.55,250,0,0","-3.38,250,0,0","-3.49,250,0,0","-2.71,250,0,0","-1.12,250,0,0","0.97,250,0,0","3.10,250,0,0","4.75,250,0,0","5.42,250,0,0","4.81,250,0,0","2.94,250,0,0","0.27,250,0,0","-2.51,250,0,0","-4.73,250,0,0","-5.87,250,0,0","-5.74,250,0,0","-4.43,250,0,0","-2.28,250,0,0","0.26,250,0,0","2.71,250,0,0","4.60,250,0,0","5.53,250,0,0","5.23,250,0,0","3.69,250,0,0","1.21,250,0,0","-1.62,250,0,0","-4.09,250,0,0","-5.63,250,0,0","-5.93,250,0,0","-4.99,250,0,0","-3.07,250,0,0","-0.60,250,0,0","1.93,250,0,0","4.06,250,0,0","5.35,250,0,0","5.48,250,0,0","4.33,250,0,0","2.10,250,0,0","-0.68,250,0,0","-3.34,250,0,0","-5.24,250,0,0","-5.97,250,0,0","-5.43,250,0,0","-3.79,250,0,0","-1.45,250,0,0","1.11,250,0,0","3.42,250,0,0","5.03,250,0,0","5.57,250,0,0","4.85,250,0,0","2.94,250,0,0","0.27,250,0,0","-2.51,250,0,0","-4.73,250,0,0","-5.87,250,0,0","-5.70,250,0,0","-4.31,250,0,0","-2.14,250,0,0","0.26,250,0,0","2.33,250,0,0","3.66,250,0,0","4.02,250,0,0","3.41,250,0,0","2.13,250,0,0","0.63,250,0,0","-0.63,250,0,0","-1.37,250,0,0","-1.53,250,0,0","-1.25,250,0,0","-0.77,250,0,0","-0.31,250,0,0","-0.03,250,0,0","0.06,250,0,0","0.00,400,0,0"
27,ELLIPSE_LS,MD2,0,"0.03,250,0,0","0.16,250,0,0","0.34,250,0,0","0.47,250,0,0","0.38,250,0,0","-0.04,250,0,0","-0.79,250,0,0","-1.68,250,0,0","-2.41,250,0,0","-2.63,250,0,0","-2.14,250,0,0","-0.90,250,0,0","0.88,250,0,0","2.84,250,0,0","4.49,250,0,0","5.33,250,0,0","4.99,250,0,0","3.40,250,0,0","0.88,250,0,0","-1.92,250,0,0","-4.20,250,0,0","-5.43,250,0,0","-5.40,250,0,0","-4.18,250,0,0","-2.11,250,0,0","0.41,250,0,0","2.90,250,0,0","4.87,250,0,0","5.89,250,0,0","5.69,250,0,0","4.23,250,0,0","1.81,250,0,0","-1.01,250,0,0","-3.53,250,0,0","-5.16,250,0,0","-5.55,250,0,0","-4.70,250,0,0","-2.87,250,0,0","-0.45,250,0,0","2.10,250,0,0","4.30,250,0,0","5.68,250,0,0","5.90,250,0,0","4.85,250,0,0","2.70,250,0,0","-0.07,250,0,0","-2.77,250,0,0","-4.75,250,0,0","-5.56,250,0,0","-5.11,250,0,0","-3.57,250,0,0","-1.29,250,0,0","1.27,250,0,0","3.63,250,0,0","5.34,250,0,0","5.97,250,0,0","5.33,250,0,0","3.51,250,0,0","0.88,250,0,0","-1.92,250,0,0","-4.20,250,0,0","-5.43,250,0,0","-5.40,250,0,0","-4.18,250,0,0","-2.09,250,0,0","0.39,250,0,0","2.72,250,0,0","4.36,250,0,0","4.95,250,0,0","4.41,250,0,0","2.98,250,0,0","1.12,250,0,0","-0.61,250,0,0","-1.78,250,0,0","-2.21,250,0,0","-2.00,250,0,0","-1.39,250,0,0","-0.68,250,0,0","-0.10,250,0,0","0.21,250,0,0","0.26,250,0,0","0.16,250,0,0","0.00,400,0,0"
27,ELLIPSE_LS,MD3,0,"-0.00,250,0,0","0.06,250,0,0","0.27,250,0,0","0.58,250,0,0","0.88,250,0,0","0.95,250,0,0","0.62,250,0,0","-0.18,250,0,0","-1.34,250,0,0","-2.54,250,0,0","-3.38,250,0,0","-3.51,250,0,0","-2.73,250,0,0","-1.15,250,0,0","0.94,250,0,0","3.08,250,0,0","4.73,250,0,0","5.43,250,0,0","4.83,250,0,0","2.97,250,0,0","0.30,250,0,0","-2.49,250,0,0","-4.71,250,0,0","-5.87,250,0,0","-5.76,250,0,0","-4.47,250,0,0","-2.32,250,0,0","0.22,250,0,0","2.68,250,0,0","4.58,250,0,0","5.53,250,0,0","5.25,250,0,0","3.71,250,0,0","1.24,250,0,0","-1.59,250,0,0","-4.07,250,0,0","-5.63,250,0,0","-5.94,250,0,0","-5.01,250,0,0","-3.10,250,0,0","-0.64,250,0,0","1.90,250,0,0","4.03,250,0,0","5.34,250,0,0","5.49,250,0,0","4.35,250,0,0","2.14,250,0,0","-0.65,250,0,0","-3.32,250,0,0","-5.24,250,0,0","-5.98,250,0,0","-5.45,250,0,0","-3.82,250,0,0","-1.49,250,0,0","1.08,250,0,0","3.39,250,0,0","5.02,250,0,0","5.58,250,0,0","4.87,250,0,0","2.97,250,0,0","0.30,250,0,0","-2.49,250,0,0","-4.71,250,0,0","-5.87,250,0,0","-5.72,250,0,0","-4.34,250,0,0","-2.17,250,0,0","0.22,250,0,0","2.30,250,0,0","3.65,250,0,0","4.02,250,0,0","3.42,250,0,0","2.15,250,0,0","0.65,250,0,0","-0.61,250,0,0","-1.36,250,0,0","-1.53,250,0,0","-1.25,250,0,0","-0.77,250,0,0","-0.32,250,0,0","-0.03,250,0,0","0.06,250,0,0","0.00,400,0,0"
27,ELLIPSE_LS,MD4,0,"0.03,250,0,0","0.16,250,0,0","0.34,250,0,0","0.47,250,0,0","0.38,250,0,0","-0.05,250,0,0","-0.80,250,0,0","-1.69,250,0,0","-2.41,250,0,0","-2.63,250,0,0","-2.12,250,0,0","-0.87,250,0,0","0.92,250,0,0","2.87,250,0,0","4.52,250,0,0","5.34,250,0,0","4.99,250,0,0","3.38,250,0,0","0.84,250,0,0","-1.96,250,0,0","-4.23,250,0,0","-5.45,250,0,0","-5.39,250,0,0","-4.16,250,0,0","-2.07,250,0,0","0.46,250,0,0","2.94,250,0,0","4.91,250,0,0","5.92,250,0,0","5.69,250,0,0","4.21,250,0,0","1.78,250,0,0","-1.05,250,0,0","-3.57,250,0,0","-5.18,250,0,0","-5.55,250,0,0","-4.68,250,0,0","-2.83,250,0,0","-0.40,250,0,0","2.15,250,0,0","4.34,250,0,0","5.71,250,0,0","5.91,250,0,0","4.83,250,0,0","2.67,250,0,0","-0.11,250,0,0","-2.81,250,0,0","-4.77,250,0,0","-5.57,250,0,0","-5.10,250,0,0","-3.54,250,0,0","-1.25,250,0,0","1.32,250,0,0","3.68,250,0,0","5.37,250,0,0","5.99,250,0,0","5.33,250,0,0","3.48,250,0,0","0.85,250,0,0","-1.96,250,0,0","-4.23,250,0,0","-5.45,250,0,0","-5.39,250,0,0","-4.16,250,0,0","-2.05,250,0,0","0.44,250,0,0","2.76,250,0,0","4.39,250,0,0","4.97,250,0,0","4.42,250,0,0","2.96,250,0,0","1.09,250,0,0","-0.63,250,0,0","-1.80,250,0,0","-2.23,250,0,0","-2.01,250,0,0","-1.39,250,0,0","-0.67,250,0,0","-0.09,250,0,0","0.21,250,0,0","0.26,250,0,0","0.16,250,0,0","0.00,400,0,0"
