MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19,P-Vector 20,P-Vector 21,P-Vector 22,P-Vector 23,P-Vector 24,P-Vector 25,P-Vector 26,P-Vector 27,P-Vector 28,P-Vector 29,P-Vector 30,P-Vector 31,P-Vector 32,P-Vector 33,P-Vector 34,P-Vector 35,P-Vector 36,P-Vector 37,P-Vector 38,P-Vector 39,P-Vector 40,P-Vector 41,P-Vector 42,P-Vector 43,P-Vector 44,P-Vector 45,P-Vector 46,P-Vector 47,P-Vector 48,P-Vector 49,P-Vector 50,P-Vector 51,P-Vector 52,P-Vector 53,P-Vector 54,P-Vector 55,P-Vector 56,P-Vector 57,P-Vector 58,P-Vector 59,P-Vector 60,P-Vector 61,P-Vector 62,P-Vector 63,P-Vector 64,P-Vector 65,P-Vector 66,P-Vector 67,P-Vector 68,P-Vector 69,P-Vector 70,P-Vector 71,P-Vector 72,P-Vector 73,P-Vector 74,P-Vector 75,P-Vector 76,P-Vector 77,P-Vector 78,P-Vector 79,P-Vector 80,P-Vector 81,P-Vector 82,P-Vector 83
6,HORIZ_LS_VIBE,MD1,0,"0.01,250,0,0","0.09,250,0,0","0.33,250,0,0","0.62,250,0,0","0.66,250,0,0","0.27,250,0,0","-0.30,250,0,0","-0.82,250,0,0","-1.52,250,0,0","-2.55,250,0,0","-3.31,250,0,0","-2.74,250,0,0","-0.69,250,0,0","1.62,250,0,0","2.91,250,0,0","3.30,250,0,0","3.85,250,0,0","4.48,250,0,0","3.63,250,0,0","0.72,250,0,0","-2.74,250,0,0","-4.77,250,0,0","-4.99,250,0,0","-4.48,250,0,0","-3.96,250,0,0","-2.90,250,0,0","-0.41,250,0,0","2.92,250,0,0","5.15,250,0,0","5.10,250,0,0","3.70,250,0,0","2.53,250,0,0","1.62,250,0,0","-0.23,250,0,0","-3.21,250,0,0","-5.78,250,0,0","-6.17,250,0,0","-4.37,250,0,0","-1.97,250,0,0","-0.26,250,0,0","1.05,250,0,0","2.95,250,0,0","5.10,250,0,0","5.76,250,0,0","4.06,250,0,0","1.19,250,0,0","-1.06,250,0,0","-2.39,250,0,0","-3.72,250,0,0","-5.25,250,0,0","-5.85,250,0,0","-4.27,250,0,0","-0.97,250,0,0","2.06,250,0,0","3.43,250,0,0","3.64,250,0,0","4.08,250,0,0","4.60,250,0,0","3.66,250,0,0","0.72,250,0,0","-2.74,250,0,0","-4.77,250,0,0","-4.99,250,0,0","-4.48,250,0,0","-3.93,250,0,0","-2.81,250,0,0","-0.39,250,0,0","2.62,250,0,0","4.37,250,0,0","4.05,250,0,0","2.73,250,0,0","1.68,250,0,0","0.94,250,0,0","-0.10,250,0,0","-1.33,250,0,0","-1.99,250,0,0","-1.69,250,0,0","-0.90,250,0,0","-0.29,250,0,0","-0.03,250,0,0","0.07,250,0,0","0.09,250,0,0","0.00,400,0,0"
6,HORIZ_LS_VIBE,MD2,0,"0.02,250,0,0","0.13,250,0,0","0.29,250,0,0","0.43,250,0,0","0.59,250,0,0","0.62,250,0,0","0.11,250,0,0","-1.04,250,0,0","-2.23,250,0,0","-2.63,250,0,0","-2.21,250,0,0","-1.69,250,0,0","-1.17,250,0,0","0.18,250,0,0","2.69,250,0,0","5.16,250,0,0","5.78,250,0,0","4.24,250,0,0","1.96,250,0,0","0.26,250,0,0","-1.05,250,0,0","-2.95,250,0,0","-5.10,250,0,0","-5.76,250,0,0","-4.06,250,0,0","-1.19,250,0,0","1.05,250,0,0","2.39,250,0,0","3.72,250,0,0","5.25,250,0,0","5.84,250,0,0","4.27,250,0,0","0.97,250,0,0","-2.06,250,0,0","-3.43,250,0,0","-3.65,250,0,0","-4.09,250,0,0","-4.60,250,0,0","-3.66,250,0,0","-0.72,250,0,0","2.74,250,0,0","4.76,250,0,0","4.99,250,0,0","4.49,250,0,0","3.96,250,0,0","2.89,250,0,0","0.41,250,0,0","-2.92,250,0,0","-5.14,250,0,0","-5.11,250,0,0","-3.71,250,0,0","-2.54,250,0,0","-1.62,250,0,0","0.24,250,0,0","3.21,250,0,0","5.78,250,0,0","6.17,250,0,0","4.37,250,0,0","1.98,250,0,0","0.26,250,0,0","-1.05,250,0,0","-2.95,250,0,0","-5.10,250,0,0","-5.76,250,0,0","-4.03,250,0,0","-1.16,250,0,0","0.99,250,0,0","2.13,250,0,0","3.11,250,0,0","4.07,250,0,0","4.15,250,0,0","2.74,250,0,0","0.55,250,0,0","-1.03,250,0,0","-1.49,250,0,0","-1.36,250,0,0","-1.23,250,0,0","-1.03,250,0,0","-0.58,250,0,0","-0.08,250,0,0","0.16,250,0,0","0.13,250,0,0","0.00,400,0,0"
6,HORIZ_LS_VIBE,MD3,0,"0.01,250,0,0","0.09,250,0,0","0.33,250,0,0","0.62,250,0,0","0.66,250,0,0","0.27,250,0,0","-0.30,250,0,0","-0.82,250,0,0","-1.51,250,0,0","-2.54,250,0,0","-3.31,250,0,0","-2.75,250,0,0","-0.69,250,0,0","1.63,250,0,0","2.90,250,0,0","3.27,250,0,0","3.83,250,0,0","4.47,250,0,0","3.64,250,0,0","0.72,250,0,0","-2.75,250,0,0","-4.77,250,0,0","-4.97,250,0,0","-4.46,250,0,0","-3.95,250,0,0","-2.90,250,0,0","-0.42,250,0,0","2.92,250,0,0","5.15,250,0,0","5.09,250,0,0","3.67,250,0,0","2.51,250,0,0","1.63,250,0,0","-0.21,250,0,0","-3.20,250,0,0","-5.78,250,0,0","-6.17,250,0,0","-4.35,250,0,0","-1.95,250,0,0","-0.25,250,0,0","1.03,250,0,0","2.93,250,0,0","5.09,250,0,0","5.76,250,0,0","4.05,250,0,0","1.17,250,0,0","-1.07,250,0,0","-2.38,250,0,0","-3.70,250,0,0","-5.24,250,0,0","-5.85,250,0,0","-4.28,250,0,0","-0.96,250,0,0","2.07,250,0,0","3.42,250,0,0","3.62,250,0,0","4.05,250,0,0","4.59,250,0,0","3.67,250,0,0","0.72,250,0,0","-2.75,250,0,0","-4.77,250,0,0","-4.97,250,0,0","-4.46,250,0,0","-3.92,250,0,0","-2.82,250,0,0","-0.40,250,0,0","2.62,250,0,0","4.37,250,0,0","4.05,250,0,0","2.71,250,0,0","1.67,250,0,0","0.94,250,0,0","-0.10,250,0,0","-1.33,250,0,0","-1.99,250,0,0","-1.69,250,0,0","-0.90,250,0,0","-0.29,250,0,0","-0.03,250,0,0","0.07,250,0,0","0.09,250,0,0","0.00,400,0,0"
6,HORIZ_LS_VIBE,MD4,0,"0.02,250,0,0","0.13,250,0,0","0.29,250,0,0","0.43,250,0,0","0.59,250,0,0","0.62,250,0,0","0.12,250,0,0","-1.05,250,0,0","-2.24,250,0,0","-2.63,250,0,0","-2.20,250,0,0","-1.67,250,0,0","-1.17,250,0,0","0.16,250,0,0","2.69,250,0,0","5.17,250,0,0","5.79,250,0,0","4.23,250,0,0","1.94,250,0,0","0.26,250,0,0","-1.03,250,0,0","-2.93,250,0,0","-5.09,250,0,0","-5.76,250,0,0","-4.06,250,0,0","-1.18,250,0,0","1.07,250,0,0","2.38,250,0,0","3.71,250,0,0","5.24,250,0,0","5.86,250,0,0","4.28,250,0,0","0.97,250,0,0","-2.07,250,0,0","-3.42,250,0,0","-3.62,250,0,0","-4.06,250,0,0","-4.60,250,0,0","-3.67,250,0,0","-0.72,250,0,0","2.75,250,0,0","4.77,250,0,0","4.98,250,0,0","4.47,250,0,0","3.95,250,0,0","2.90,250,0,0","0.42,250,0,0","-2.92,250,0,0","-5.15,250,0,0","-5.10,250,0,0","-3.68,250,0,0","-2.52,250,0,0","-1.63,250,0,0","0.22,250,0,0","3.20,250,0,0","5.79,250,0,0","6.18,250,0,0","4.36,250,0,0","1.96,250,0,0","0.26,250,0,0","-1.03,250,0,0","-2.93,250,0,0","-5.09,250,0,0","-5.76,250,0,0","-4.03,250,0,0","-1.14,250,0,0","1.00,250,0,0","2.13,250,0,0","3.09,250,0,0","4.06,250,0,0","4.16,250,0,0","2.75,250,0,0","0.55,250,0,0","-1.04,250,0,0","-1.49,250,0,0","-1.35,250,0,0","-1.22,250,0,0","-1.03,250,0,0","-0.58,250,0,0","-0.08,250,0,0","0.17,250,0,0","0.13,250,0,0","0.00,400,0,0"
