MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19,P-Vector 20,P-Vector 21,P-Vector 22,P-Vector 23,P-Vector 24,P-Vector 25,P-Vector 26,P-Vector 27,P-Vector 28,P-Vector 29,P-Vector 30,P-Vector 31,P-Vector 32,P-Vector 33,P-Vector 34,P-Vector 35,P-Vector 36,P-Vector 37,P-Vector 38,P-Vector 39,P-Vector 40,P-Vector 41,P-Vector 42,P-Vector 43,P-Vector 44,P-Vector 45,P-Vector 46,P-Vector 47,P-Vector 48,P-Vector 49,P-Vector 50,P-Vector 51,P-Vector 52,P-Vector 53,P-Vector 54,P-Vector 55,P-Vector 56,P-Vector 57,P-Vector 58,P-Vector 59,P-Vector 60,P-Vector 61,P-Vector 62,P-Vector 63,P-Vector 64,P-Vector 65,P-Vector 66,P-Vector 67,P-Vector 68,P-Vector 69,P-Vector 70,P-Vector 71,P-Vector 72,P-Vector 73,P-Vector 74,P-Vector 75,P-Vector 76,P-Vector 77,P-Vector 78,P-Vector 79,P-Vector 80,P-Vector 81,P-Vector 82,P-Vector 83
23,CIRCLE_SF,MD1,0,"-0.00,250,0,0","-0.08,250,0,0","-0.17,250,0,0","-0.07,250,0,0","0.33,250,0,0","0.67,250,0,0","0.44,250,0,0","-0.47,250,0,0","-1.32,250,0,0","-1.17,250,0,0","0.17,250,0,0","1.75,250,0,0","2.05,250,0,0","0.46,250,0,0","-1.85,250,0,0","-2.83,250,0,0","-1.51,250,0,0","1.18,250,0,0","3.02,250,0,0","2.30,250,0,0","-0.44,250,0,0","-2.81,250,0,0","-2.89,250,0,0","-0.71,250,0,0","2.04,250,0,0","3.10,250,0,0","1.51,250,0,0","-1.39,250,0,0","-3.14,250,0,0","-2.36,250,0,0","0.26,250,0,0","2.67,250,0,0","2.85,250,0,0","0.57,250,0,0","-2.21,250,0,0","-3.16,250,0,0","-1.61,250,0,0","1.21,250,0,0","3.04,250,0,0","2.30,250,0,0","-0.44,250,0,0","-2.81,250,0,0","-2.89,250,0,0","-0.71,250,0,0","2.04,250,0,0","3.10,250,0,0","1.51,250,0,0","-1.39,250,0,0","-3.14,250,0,0","-2.36,250,0,0","0.26,250,0,0","2.67,250,0,0","2.85,250,0,0","0.57,250,0,0","-2.21,250,0,0","-3.16,250,0,0","-1.61,250,0,0","1.21,250,0,0","3.04,250,0,0","2.30,250,0,0","-0.44,250,0,0","-2.81,250,0,0","-2.89,250,0,0","-0.71,250,0,0","2.02,250,0,0","3.02,250,0,0","1.42,250,0,0","-1.24,250,0,0","-2.64,250,0,0","-1.84,250,0,0","0.20,250,0,0","1.75,250,0,0","1.64,250,0,0","0.30,250,0,0","-0.92,250,0,0","-1.11,250,0,0","-0.44,250,0,0","0.28,250,0,0","0.48,250,0,0","0.24,250,0,0","-0.02,250,0,0","-0.08,250,0,0","0.00,400,0,0"
23,CIRCLE_SF,MD2,0,"0.02,250,0,0","0.06,250,0,0","-0.03,250,0,0","-0.29,250,0,0","-0.44,250,0,0","-0.11,250,0,0","0.62,250,0,0","1.10,250,0,0","0.64,250,0,0","-0.68,250,0,0","-1.77,250,0,0","-1.42,250,0,0","0.36,250,0,0","2.19,250,0,0","2.42,250,0,0","0.55,250,0,0","-2.03,250,0,0","-2.98,250,0,0","-1.36,250,0,0","1.44,250,0,0","3.12,250,0,0","2.33,250,0,0","-0.38,250,0,0","-2.75,250,0,0","-2.76,250,0,0","-0.44,250,0,0","2.22,250,0,0","3.15,250,0,0","1.56,250,0,0","-1.33,250,0,0","-3.07,250,0,0","-2.17,250,0,0","0.52,250,0,0","2.80,250,0,0","2.88,250,0,0","0.62,250,0,0","-2.16,250,0,0","-3.07,250,0,0","-1.37,250,0,0","1.44,250,0,0","3.12,250,0,0","2.33,250,0,0","-0.38,250,0,0","-2.75,250,0,0","-2.76,250,0,0","-0.44,250,0,0","2.22,250,0,0","3.15,250,0,0","1.56,250,0,0","-1.33,250,0,0","-3.07,250,0,0","-2.17,250,0,0","0.52,250,0,0","2.80,250,0,0","2.88,250,0,0","0.62,250,0,0","-2.16,250,0,0","-3.07,250,0,0","-1.37,250,0,0","1.44,250,0,0","3.12,250,0,0","2.33,250,0,0","-0.38,250,0,0","-2.75,250,0,0","-2.74,250,0,0","-0.43,250,0,0","2.09,250,0,0","2.82,250,0,0","1.30,250,0,0","-1.06,250,0,0","-2.21,250,0,0","-1.42,250,0,0","0.28,250,0,0","1.39,250,0,0","1.21,250,0,0","0.20,250,0,0","-0.61,250,0,0","-0.67,250,0,0","-0.23,250,0,0","0.14,250,0,0","0.19,250,0,0","0.06,250,0,0","0.00,400,0,0"
23,CIRCLE_SF,MD3,0,"-0.00,250,0,0","-0.08,250,0,0","-0.18,250,0,0","-0.07,250,0,0","0.33,250,0,0","0.68,250,0,0","0.43,250,0,0","-0.48,250,0,0","-1.33,250,0,0","-1.17,250,0,0","0.19,250,0,0","1.77,250,0,0","2.06,250,0,0","0.44,250,0,0","-1.88,250,0,0","-2.85,250,0,0","-1.50,250,0,0","1.20,250,0,0","3.05,250,0,0","2.30,250,0,0","-0.46,250,0,0","-2.85,250,0,0","-2.91,250,0,0","-0.69,250,0,0","2.07,250,0,0","3.12,250,0,0","1.50,250,0,0","-1.43,250,0,0","-3.17,250,0,0","-2.36,250,0,0","0.29,250,0,0","2.70,250,0,0","2.86,250,0,0","0.55,250,0,0","-2.25,250,0,0","-3.19,250,0,0","-1.60,250,0,0","1.24,250,0,0","3.07,250,0,0","2.30,250,0,0","-0.46,250,0,0","-2.85,250,0,0","-2.91,250,0,0","-0.69,250,0,0","2.07,250,0,0","3.12,250,0,0","1.50,250,0,0","-1.43,250,0,0","-3.17,250,0,0","-2.36,250,0,0","0.29,250,0,0","2.70,250,0,0","2.86,250,0,0","0.55,250,0,0","-2.25,250,0,0","-3.19,250,0,0","-1.60,250,0,0","1.24,250,0,0","3.07,250,0,0","2.30,250,0,0","-0.46,250,0,0","-2.85,250,0,0","-2.91,250,0,0","-0.69,250,0,0","2.06,250,0,0","3.04,250,0,0","1.41,250,0,0","-1.27,250,0,0","-2.66,250,0,0","-1.85,250,0,0","0.22,250,0,0","1.77,250,0,0","1.65,250,0,0","0.29,250,0,0","-0.93,250,0,0","-1.11,250,0,0","-0.44,250,0,0","0.28,250,0,0","0.49,250,0,0","0.24,250,0,0","-0.02,250,0,0","-0.08,250,0,0","0.00,400,0,0"
23,CIRCLE_SF,MD4,0,"0.02,250,0,0","0.06,250,0,0","-0.03,250,0,0","-0.29,250,0,0","-0.44,250,0,0","-0.12,250,0,0","0.62,250,0,0","1.11,250,0,0","0.66,250,0,0","-0.67,250,0,0","-1.78,250,0,0","-1.45,250,0,0","0.34,250,0,0","2.21,250,0,0","2.46,250,0,0","0.58,250,0,0","-2.03,250,0,0","-3.02,250,0,0","-1.40,250,0,0","1.43,250,0,0","3.15,250,0,0","2.38,250,0,0","-0.35,250,0,0","-2.77,250,0,0","-2.80,250,0,0","-0.48,250,0,0","2.23,250,0,0","3.19,250,0,0","1.60,250,0,0","-1.32,250,0,0","-3.09,250,0,0","-2.21,250,0,0","0.50,250,0,0","2.82,250,0,0","2.93,250,0,0","0.66,250,0,0","-2.16,250,0,0","-3.10,250,0,0","-1.41,250,0,0","1.43,250,0,0","3.15,250,0,0","2.38,250,0,0","-0.35,250,0,0","-2.77,250,0,0","-2.80,250,0,0","-0.48,250,0,0","2.23,250,0,0","3.19,250,0,0","1.60,250,0,0","-1.32,250,0,0","-3.09,250,0,0","-2.21,250,0,0","0.50,250,0,0","2.82,250,0,0","2.93,250,0,0","0.66,250,0,0","-2.16,250,0,0","-3.10,250,0,0","-1.41,250,0,0","1.43,250,0,0","3.15,250,0,0","2.38,250,0,0","-0.35,250,0,0","-2.77,250,0,0","-2.78,250,0,0","-0.47,250,0,0","2.09,250,0,0","2.85,250,0,0","1.34,250,0,0","-1.05,250,0,0","-2.23,250,0,0","-1.45,250,0,0","0.27,250,0,0","1.40,250,0,0","1.23,250,0,0","0.21,250,0,0","-0.61,250,0,0","-0.68,250,0,0","-0.23,250,0,0","0.14,250,0,0","0.19,250,0,0","0.06,250,0,0","0.00,400,0,0"
