MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19,P-Vector 20,P-Vector 21,P-Vector 22,P-Vector 23,P-Vector 24,P-Vector 25,P-Vector 26,P-Vector 27,P-Vector 28,P-Vector 29,P-Vector 30,P-Vector 31,P-Vector 32,P-Vector 33,P-Vector 34,P-Vector 35,P-Vector 36,P-Vector 37,P-Vector 38,P-Vector 39,P-Vector 40,P-Vector 41,P-Vector 42,P-Vector 43,P-Vector 44,P-Vector 45,P-Vector 46,P-Vector 47,P-Vector 48,P-Vector 49,P-Vector 50,P-Vector 51,P-Vector 52,P-Vector 53,P-Vector 54,P-Vector 55,P-Vector 56,P-Vector 57,P-Vector 58,P-Vector 59,P-Vector 60,P-Vector 61,P-Vector 62,P-Vector 63,P-Vector 64,P-Vector 65,P-Vector 66,P-Vector 67,P-Vector 68,P-Vector 69,P-Vector 70,P-Vector 71,P-Vector 72,P-Vector 73,P-Vector 74,P-Vector 75,P-Vector 76,P-Vector 77,P-Vector 78,P-Vector 79,P-Vector 80,P-Vector 81,P-Vector 82,P-Vector 83
19,PARAB_SF,MD1,0,"0.01,250,0,0","0.02,250,0,0","0.05,250,0,0","0.09,250,0,0","0.04,250,0,0","-0.33,250,0,0","-0.97,250,0,0","-1.36,250,0,0","-1.01,250,0,0","-0.16,250,0,0","0.44,250,0,0","0.50,250,0,0","0.51,250,0,0","0.66,250,0,0","0.23,250,0,0","-1.36,250,0,0","-3.25,250,0,0","-3.78,250,0,0","-2.36,250,0,0","-0.32,250,0,0","0.75,250,0,0","0.74,250,0,0","0.66,250,0,0","0.83,250,0,0","0.27,250,0,0","-1.51,250,0,0","-3.46,250,0,0","-3.89,250,0,0","-2.38,250,0,0","-0.32,250,0,0","0.75,250,0,0","0.74,250,0,0","0.66,250,0,0","0.83,250,0,0","0.27,250,0,0","-1.51,250,0,0","-3.46,250,0,0","-3.89,250,0,0","-2.38,250,0,0","-0.32,250,0,0","0.75,250,0,0","0.74,250,0,0","0.66,250,0,0","0.83,250,0,0","0.27,250,0,0","-1.51,250,0,0","-3.46,250,0,0","-3.89,250,0,0","-2.38,250,0,0","-0.32,250,0,0","0.75,250,0,0","0.74,250,0,0","0.66,250,0,0","0.83,250,0,0","0.27,250,0,0","-1.51,250,0,0","-3.46,250,0,0","-3.89,250,0,0","-2.38,250,0,0","-0.32,250,0,0","0.75,250,0,0","0.74,250,0,0","0.66,250,0,0","0.83,250,0,0","0.27,250,0,0","-1.47,250,0,0","-3.25,250,0,0","-3.48,250,0,0","-2.00,250,0,0","-0.25,250,0,0","0.54,250,0,0","0.50,250,0,0","0.42,250,0,0","0.43,250,0,0","0.12,250,0,0","-0.53,250,0,0","-0.97,250,0,0","-0.83,250,0,0","-0.37,250,0,0","-0.03,250,0,0","0.05,250,0,0","0.02,250,0,0","0.00,400,0,0"
19,PARAB_SF,MD2,0,"0.01,250,0,0","0.10,250,0,0","0.23,250,0,0","0.24,250,0,0","0.05,250,0,0","-0.17,250,0,0","-0.23,250,0,0","-0.27,250,0,0","-0.37,250,0,0","-0.14,250,0,0","0.87,250,0,0","2.23,250,0,0","2.78,250,0,0","1.86,250,0,0","0.27,250,0,0","-0.68,250,0,0","-0.71,250,0,0","-0.66,250,0,0","-0.83,250,0,0","-0.27,250,0,0","1.51,250,0,0","3.46,250,0,0","3.88,250,0,0","2.37,250,0,0","0.32,250,0,0","-0.75,250,0,0","-0.75,250,0,0","-0.68,250,0,0","-0.83,250,0,0","-0.27,250,0,0","1.51,250,0,0","3.46,250,0,0","3.88,250,0,0","2.37,250,0,0","0.32,250,0,0","-0.75,250,0,0","-0.75,250,0,0","-0.68,250,0,0","-0.83,250,0,0","-0.27,250,0,0","1.51,250,0,0","3.46,250,0,0","3.88,250,0,0","2.37,250,0,0","0.32,250,0,0","-0.75,250,0,0","-0.75,250,0,0","-0.68,250,0,0","-0.83,250,0,0","-0.27,250,0,0","1.51,250,0,0","3.46,250,0,0","3.88,250,0,0","2.37,250,0,0","0.32,250,0,0","-0.75,250,0,0","-0.75,250,0,0","-0.68,250,0,0","-0.83,250,0,0","-0.27,250,0,0","1.51,250,0,0","3.46,250,0,0","3.88,250,0,0","2.37,250,0,0","0.32,250,0,0","-0.73,250,0,0","-0.71,250,0,0","-0.62,250,0,0","-0.71,250,0,0","-0.21,250,0,0","1.08,250,0,0","2.23,250,0,0","2.22,250,0,0","1.18,250,0,0","0.14,250,0,0","-0.27,250,0,0","-0.23,250,0,0","-0.17,250,0,0","-0.14,250,0,0","-0.03,250,0,0","0.09,250,0,0","0.10,250,0,0","0.00,400,0,0"
19,PARAB_SF,MD3,0,"0.01,250,0,0","0.02,250,0,0","0.05,250,0,0","0.09,250,0,0","0.04,250,0,0","-0.33,250,0,0","-0.97,250,0,0","-1.36,250,0,0","-1.01,250,0,0","-0.16,250,0,0","0.43,250,0,0","0.49,250,0,0","0.49,250,0,0","0.65,250,0,0","0.23,250,0,0","-1.36,250,0,0","-3.27,250,0,0","-3.79,250,0,0","-2.37,250,0,0","-0.32,250,0,0","0.74,250,0,0","0.72,250,0,0","0.64,250,0,0","0.81,250,0,0","0.27,250,0,0","-1.52,250,0,0","-3.48,250,0,0","-3.90,250,0,0","-2.38,250,0,0","-0.32,250,0,0","0.74,250,0,0","0.72,250,0,0","0.64,250,0,0","0.81,250,0,0","0.27,250,0,0","-1.52,250,0,0","-3.48,250,0,0","-3.90,250,0,0","-2.38,250,0,0","-0.32,250,0,0","0.74,250,0,0","0.72,250,0,0","0.64,250,0,0","0.81,250,0,0","0.27,250,0,0","-1.52,250,0,0","-3.48,250,0,0","-3.90,250,0,0","-2.38,250,0,0","-0.32,250,0,0","0.74,250,0,0","0.72,250,0,0","0.64,250,0,0","0.81,250,0,0","0.27,250,0,0","-1.52,250,0,0","-3.48,250,0,0","-3.90,250,0,0","-2.38,250,0,0","-0.32,250,0,0","0.74,250,0,0","0.72,250,0,0","0.64,250,0,0","0.81,250,0,0","0.27,250,0,0","-1.47,250,0,0","-3.27,250,0,0","-3.49,250,0,0","-2.01,250,0,0","-0.25,250,0,0","0.54,250,0,0","0.49,250,0,0","0.40,250,0,0","0.42,250,0,0","0.11,250,0,0","-0.53,250,0,0","-0.97,250,0,0","-0.83,250,0,0","-0.37,250,0,0","-0.03,250,0,0","0.05,250,0,0","0.02,250,0,0","0.00,400,0,0"
19,PARAB_SF,MD4,0,"0.01,250,0,0","0.10,250,0,0","0.23,250,0,0","0.25,250,0,0","0.05,250,0,0","-0.16,250,0,0","-0.23,250,0,0","-0.26,250,0,0","-0.36,250,0,0","-0.14,250,0,0","0.87,250,0,0","2.24,250,0,0","2.79,250,0,0","1.86,250,0,0","0.27,250,0,0","-0.67,250,0,0","-0.68,250,0,0","-0.63,250,0,0","-0.81,250,0,0","-0.27,250,0,0","1.52,250,0,0","3.48,250,0,0","3.90,250,0,0","2.38,250,0,0","0.32,250,0,0","-0.74,250,0,0","-0.72,250,0,0","-0.64,250,0,0","-0.82,250,0,0","-0.27,250,0,0","1.52,250,0,0","3.48,250,0,0","3.90,250,0,0","2.38,250,0,0","0.32,250,0,0","-0.74,250,0,0","-0.72,250,0,0","-0.64,250,0,0","-0.82,250,0,0","-0.27,250,0,0","1.52,250,0,0","3.48,250,0,0","3.90,250,0,0","2.38,250,0,0","0.32,250,0,0","-0.74,250,0,0","-0.72,250,0,0","-0.64,250,0,0","-0.82,250,0,0","-0.27,250,0,0","1.52,250,0,0","3.48,250,0,0","3.90,250,0,0","2.38,250,0,0","0.32,250,0,0","-0.74,250,0,0","-0.72,250,0,0","-0.64,250,0,0","-0.82,250,0,0","-0.27,250,0,0","1.52,250,0,0","3.48,250,0,0","3.90,250,0,0","2.38,250,0,0","0.32,250,0,0","-0.72,250,0,0","-0.68,250,0,0","-0.59,250,0,0","-0.70,250,0,0","-0.21,250,0,0","1.09,250,0,0","2.24,250,0,0","2.23,250,0,0","1.19,250,0,0","0.14,250,0,0","-0.27,250,0,0","-0.23,250,0,0","-0.16,250,0,0","-0.13,250,0,0","-0.03,250,0,0","0.09,250,0,0","0.10,250,0,0","0.00,400,0,0"
