MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19,P-Vector 20,P-Vector 21,P-Vector 22,P-Vector 23,P-Vector 24,P-Vector 25,P-Vector 26,P-Vector 27,P-Vector 28,P-Vector 29,P-Vector 30,P-Vector 31,P-Vector 32,P-Vector 33,P-Vector 34,P-Vector 35,P-Vector 36,P-Vector 37,P-Vector 38,P-Vector 39,P-Vector 40,P-Vector 41,P-Vector 42,P-Vector 43,P-Vector 44,P-Vector 45,P-Vector 46,P-Vector 47,P-Vector 48,P-Vector 49,P-Vector 50,P-Vector 51,P-Vector 52,P-Vector 53,P-Vector 54,P-Vector 55,P-Vector 56,P-Vector 57,P-Vector 58,P-Vector 59,P-Vector 60,P-Vector 61,P-Vector 62,P-Vector 63,P-Vector 64,P-Vector 65,P-Vector 66,P-Vector 67,P-Vector 68,P-Vector 69,P-Vector 70,P-Vector 71,P-Vector 72,P-Vector 73,P-Vector 74,P-Vector 75,P-Vector 76,P-Vector 77,P-Vector 78,P-Vector 79,P-Vector 80,P-Vector 81,P-Vector 82,P-Vector 83
33,ARC_LS,MD1,0,"0.01,250,0,0","0.07,250,0,0","0.18,250,0,0","0.31,250,0,0","0.38,250,0,0","0.60,250,0,0","0.84,250,0,0","0.92,250,0,0","0.72,250,0,0","0.16,250,0,0","-0.80,250,0,0","-2.12,250,0,0","-3.69,250,0,0","-5.31,250,0,0","-6.78,250,0,0","-6.59,250,0,0","-5.50,250,0,0","-3.95,250,0,0","-2.13,250,0,0","-0.33,250,0,0","1.18,250,0,0","2.23,250,0,0","2.72,250,0,0","2.61,250,0,0","1.94,250,0,0","2.40,250,0,0","2.75,250,0,0","2.50,250,0,0","1.67,250,0,0","0.32,250,0,0","-1.40,250,0,0","-3.30,250,0,0","-5.17,250,0,0","-6.82,250,0,0","-8.07,250,0,0","-7.37,250,0,0","-5.87,250,0,0","-4.06,250,0,0","-2.15,250,0,0","-0.33,250,0,0","1.18,250,0,0","2.23,250,0,0","2.72,250,0,0","2.61,250,0,0","1.94,250,0,0","2.40,250,0,0","2.75,250,0,0","2.50,250,0,0","1.67,250,0,0","0.32,250,0,0","-1.40,250,0,0","-3.30,250,0,0","-5.17,250,0,0","-6.82,250,0,0","-8.07,250,0,0","-7.37,250,0,0","-5.87,250,0,0","-4.06,250,0,0","-2.15,250,0,0","-0.33,250,0,0","1.18,250,0,0","2.23,250,0,0","2.72,250,0,0","2.61,250,0,0","1.93,250,0,0","2.35,250,0,0","2.60,250,0,0","2.25,250,0,0","1.41,250,0,0","0.25,250,0,0","-1.00,250,0,0","-2.12,250,0,0","-2.94,250,0,0","-3.36,250,0,0","-3.37,250,0,0","-2.55,250,0,0","-1.62,250,0,0","-0.86,250,0,0","-0.33,250,0,0","-0.03,250,0,0","0.07,250,0,0","0.07,250,0,0","0.00,400,0,0"
33,ARC_LS,MD2,0,"0.01,250,0,0","0.09,250,0,0","0.31,250,0,0","0.69,250,0,0","1.23,250,0,0","1.55,250,0,0","1.62,250,0,0","1.41,250,0,0","0.90,250,0,0","0.17,250,0,0","-0.69,250,0,0","-1.48,250,0,0","-2.01,250,0,0","-2.13,250,0,0","-1.74,250,0,0","-2.22,250,0,0","-2.61,250,0,0","-2.44,250,0,0","-1.66,250,0,0","-0.32,250,0,0","1.40,250,0,0","3.30,250,0,0","5.17,250,0,0","6.81,250,0,0","8.05,250,0,0","7.36,250,0,0","5.86,250,0,0","4.06,250,0,0","2.15,250,0,0","0.33,250,0,0","-1.18,250,0,0","-2.24,250,0,0","-2.73,250,0,0","-2.63,250,0,0","-1.96,250,0,0","-2.42,250,0,0","-2.76,250,0,0","-2.51,250,0,0","-1.67,250,0,0","-0.32,250,0,0","1.40,250,0,0","3.30,250,0,0","5.17,250,0,0","6.81,250,0,0","8.05,250,0,0","7.36,250,0,0","5.86,250,0,0","4.06,250,0,0","2.15,250,0,0","0.33,250,0,0","-1.18,250,0,0","-2.24,250,0,0","-2.73,250,0,0","-2.63,250,0,0","-1.96,250,0,0","-2.42,250,0,0","-2.76,250,0,0","-2.51,250,0,0","-1.67,250,0,0","-0.32,250,0,0","1.40,250,0,0","3.30,250,0,0","5.17,250,0,0","6.81,250,0,0","7.99,250,0,0","7.15,250,0,0","5.50,250,0,0","3.63,250,0,0","1.81,250,0,0","0.26,250,0,0","-0.85,250,0,0","-1.48,250,0,0","-1.63,250,0,0","-1.42,250,0,0","-0.98,250,0,0","-0.97,250,0,0","-0.84,250,0,0","-0.57,250,0,0","-0.27,250,0,0","-0.03,250,0,0","0.08,250,0,0","0.09,250,0,0","0.00,400,0,0"
33,ARC_LS,MD3,0,"0.01,250,0,0","0.07,250,0,0","0.18,250,0,0","0.31,250,0,0","0.37,250,0,0","0.60,250,0,0","0.83,250,0,0","0.91,250,0,0","0.72,250,0,0","0.16,250,0,0","-0.80,250,0,0","-2.12,250,0,0","-3.69,250,0,0","-5.33,250,0,0","-6.81,250,0,0","-6.61,250,0,0","-5.51,250,0,0","-3.95,250,0,0","-2.13,250,0,0","-0.33,250,0,0","1.18,250,0,0","2.22,250,0,0","2.69,250,0,0","2.57,250,0,0","1.88,250,0,0","2.36,250,0,0","2.72,250,0,0","2.48,250,0,0","1.66,250,0,0","0.32,250,0,0","-1.40,250,0,0","-3.30,250,0,0","-5.18,250,0,0","-6.84,250,0,0","-8.11,250,0,0","-7.40,250,0,0","-5.88,250,0,0","-4.07,250,0,0","-2.15,250,0,0","-0.33,250,0,0","1.18,250,0,0","2.22,250,0,0","2.69,250,0,0","2.57,250,0,0","1.88,250,0,0","2.36,250,0,0","2.72,250,0,0","2.48,250,0,0","1.66,250,0,0","0.32,250,0,0","-1.40,250,0,0","-3.30,250,0,0","-5.18,250,0,0","-6.84,250,0,0","-8.11,250,0,0","-7.40,250,0,0","-5.88,250,0,0","-4.07,250,0,0","-2.15,250,0,0","-0.33,250,0,0","1.18,250,0,0","2.22,250,0,0","2.69,250,0,0","2.57,250,0,0","1.87,250,0,0","2.31,250,0,0","2.57,250,0,0","2.24,250,0,0","1.41,250,0,0","0.25,250,0,0","-1.00,250,0,0","-2.12,250,0,0","-2.94,250,0,0","-3.37,250,0,0","-3.39,250,0,0","-2.55,250,0,0","-1.62,250,0,0","-0.86,250,0,0","-0.33,250,0,0","-0.03,250,0,0","0.07,250,0,0","0.07,250,0,0","0.00,400,0,0"
33,ARC_LS,MD4,0,"0.01,250,0,0","0.09,250,0,0","0.31,250,0,0","0.69,250,0,0","1.23,250,0,0","1.56,250,0,0","1.62,250,0,0","1.41,250,0,0","0.90,250,0,0","0.17,250,0,0","-0.68,250,0,0","-1.47,250,0,0","-1.99,250,0,0","-2.10,250,0,0","-1.68,250,0,0","-2.17,250,0,0","-2.58,250,0,0","-2.42,250,0,0","-1.65,250,0,0","-0.32,250,0,0","1.40,250,0,0","3.30,250,0,0","5.18,250,0,0","6.84,250,0,0","8.10,250,0,0","7.40,250,0,0","5.88,250,0,0","4.07,250,0,0","2.15,250,0,0","0.33,250,0,0","-1.18,250,0,0","-2.22,250,0,0","-2.70,250,0,0","-2.58,250,0,0","-1.89,250,0,0","-2.37,250,0,0","-2.72,250,0,0","-2.49,250,0,0","-1.66,250,0,0","-0.32,250,0,0","1.40,250,0,0","3.30,250,0,0","5.18,250,0,0","6.84,250,0,0","8.10,250,0,0","7.40,250,0,0","5.88,250,0,0","4.07,250,0,0","2.15,250,0,0","0.33,250,0,0","-1.18,250,0,0","-2.22,250,0,0","-2.70,250,0,0","-2.58,250,0,0","-1.89,250,0,0","-2.37,250,0,0","-2.72,250,0,0","-2.49,250,0,0","-1.66,250,0,0","-0.32,250,0,0","1.40,250,0,0","3.30,250,0,0","5.18,250,0,0","6.84,250,0,0","8.04,250,0,0","7.19,250,0,0","5.52,250,0,0","3.64,250,0,0","1.81,250,0,0","0.26,250,0,0","-0.85,250,0,0","-1.47,250,0,0","-1.62,250,0,0","-1.40,250,0,0","-0.95,250,0,0","-0.95,250,0,0","-0.83,250,0,0","-0.57,250,0,0","-0.27,250,0,0","-0.03,250,0,0","0.08,250,0,0","0.09,250,0,0","0.00,400,0,0"
