MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19,P-Vector 20,P-Vector 21,P-Vector 22,P-Vector 23,P-Vector 24,P-Vector 25,P-Vector 26,P-Vector 27,P-Vector 28,P-Vector 29,P-Vector 30,P-Vector 31,P-Vector 32,P-Vector 33,P-Vector 34,P-Vector 35,P-Vector 36,P-Vector 37,P-Vector 38,P-Vector 39,P-Vector 40,P-Vector 41,P-Vector 42,P-Vector 43,P-Vector 44,P-Vector 45,P-Vector 46,P-Vector 47,P-Vector 48,P-Vector 49,P-Vector 50,P-Vector 51,P-Vector 52,P-Vector 53,P-Vector 54,P-Vector 55,P-Vector 56,P-Vector 57,P-Vector 58,P-Vector 59,P-Vector 60,P-Vector 61,P-Vector 62,P-Vector 63,P-Vector 64,P-Vector 65,P-Vector 66,P-Vector 67,P-Vector 68,P-Vector 69,P-Vector 70,P-Vector 71,P-Vector 72,P-Vector 73,P-Vector 74,P-Vector 75,P-Vector 76,P-Vector 77,P-Vector 78,P-Vector 79,P-Vector 80,P-Vector 81,P-Vector 82,P-Vector 83
2,STILL_VIBE,MD1,0,"-0.01,250,0,0","-0.02,250,0,0","0.02,250,0,0","0.10,250,0,0","0.04,250,0,0","-0.17,250,0,0","-0.21,250,0,0","0.12,250,0,0","0.40,250,0,0","0.12,250,0,0","-0.46,250,0,0","-0.47,250,0,0","0.25,250,0,0","0.73,250,0,0","0.20,250,0,0","-0.72,250,0,0","-0.69,250,0,0","0.34,250,0,0","0.93,250,0,0","0.23,250,0,0","-0.81,250,0,0","-0.73,250,0,0","0.35,250,0,0","0.93,250,0,0","0.23,250,0,0","-0.81,250,0,0","-0.73,250,0,0","0.35,250,0,0","0.93,250,0,0","0.23,250,0,0","-0.81,250,0,0","-0.73,250,0,0","0.35,250,0,0","0.93,250,0,0","0.23,250,0,0","-0.81,250,0,0","-0.73,250,0,0","0.35,250,0,0","0.93,250,0,0","0.23,250,0,0","-0.81,250,0,0","-0.73,250,0,0","0.35,250,0,0","0.93,250,0,0","0.23,250,0,0","-0.81,250,0,0","-0.73,250,0,0","0.35,250,0,0","0.93,250,0,0","0.23,250,0,0","-0.81,250,0,0","-0.73,250,0,0","0.35,250,0,0","0.93,250,0,0","0.23,250,0,0","-0.81,250,0,0","-0.73,250,0,0","0.35,250,0,0","0.93,250,0,0","0.23,250,0,0","-0.81,250,0,0","-0.73,250,0,0","0.35,250,0,0","0.93,250,0,0","0.23,250,0,0","-0.78,250,0,0","-0.69,250,0,0","0.31,250,0,0","0.79,250,0,0","0.18,250,0,0","-0.58,250,0,0","-0.47,250,0,0","0.20,250,0,0","0.47,250,0,0","0.10,250,0,0","-0.28,250,0,0","-0.21,250,0,0","0.08,250,0,0","0.15,250,0,0","0.02,250,0,0","-0.05,250,0,0","-0.02,250,0,0","0.00,400,0,0"
2,STILL_VIBE,MD2,0,"0.01,250,0,0","0.02,250,0,0","-0.02,250,0,0","-0.10,250,0,0","-0.04,250,0,0","0.17,250,0,0","0.20,250,0,0","-0.12,250,0,0","-0.40,250,0,0","-0.12,250,0,0","0.46,250,0,0","0.47,250,0,0","-0.25,250,0,0","-0.73,250,0,0","-0.20,250,0,0","0.72,250,0,0","0.69,250,0,0","-0.33,250,0,0","-0.92,250,0,0","-0.23,250,0,0","0.80,250,0,0","0.73,250,0,0","-0.34,250,0,0","-0.93,250,0,0","-0.23,250,0,0","0.80,250,0,0","0.73,250,0,0","-0.34,250,0,0","-0.93,250,0,0","-0.23,250,0,0","0.80,250,0,0","0.73,250,0,0","-0.34,250,0,0","-0.93,250,0,0","-0.23,250,0,0","0.80,250,0,0","0.73,250,0,0","-0.34,250,0,0","-0.93,250,0,0","-0.23,250,0,0","0.80,250,0,0","0.73,250,0,0","-0.34,250,0,0","-0.93,250,0,0","-0.23,250,0,0","0.80,250,0,0","0.73,250,0,0","-0.34,250,0,0","-0.93,250,0,0","-0.23,250,0,0","0.80,250,0,0","0.73,250,0,0","-0.34,250,0,0","-0.93,250,0,0","-0.23,250,0,0","0.80,250,0,0","0.73,250,0,0","-0.34,250,0,0","-0.93,250,0,0","-0.23,250,0,0","0.80,250,0,0","0.73,250,0,0","-0.34,250,0,0","-0.93,250,0,0","-0.23,250,0,0","0.78,250,0,0","0.69,250,0,0","-0.31,250,0,0","-0.78,250,0,0","-0.18,250,0,0","0.57,250,0,0","0.47,250,0,0","-0.20,250,0,0","-0.47,250,0,0","-0.10,250,0,0","0.28,250,0,0","0.20,250,0,0","-0.07,250,0,0","-0.15,250,0,0","-0.02,250,0,0","0.05,250,0,0","0.02,250,0,0","0.00,400,0,0"
2,STILL_VIBE,MD3,0,"-0.01,250,0,0","-0.02,250,0,0","0.02,250,0,0","0.10,250,0,0","0.04,250,0,0","-0.17,250,0,0","-0.21,250,0,0","0.12,250,0,0","0.40,250,0,0","0.12,250,0,0","-0.47,250,0,0","-0.48,250,0,0","0.25,250,0,0","0.74,250,0,0","0.20,250,0,0","-0.73,250,0,0","-0.70,250,0,0","0.34,250,0,0","0.94,250,0,0","0.24,250,0,0","-0.82,250,0,0","-0.74,250,0,0","0.35,250,0,0","0.94,250,0,0","0.24,250,0,0","-0.82,250,0,0","-0.74,250,0,0","0.35,250,0,0","0.94,250,0,0","0.24,250,0,0","-0.82,250,0,0","-0.74,250,0,0","0.35,250,0,0","0.94,250,0,0","0.24,250,0,0","-0.82,250,0,0","-0.74,250,0,0","0.35,250,0,0","0.94,250,0,0","0.24,250,0,0","-0.82,250,0,0","-0.74,250,0,0","0.35,250,0,0","0.94,250,0,0","0.24,250,0,0","-0.82,250,0,0","-0.74,250,0,0","0.35,250,0,0","0.94,250,0,0","0.24,250,0,0","-0.82,250,0,0","-0.74,250,0,0","0.35,250,0,0","0.94,250,0,0","0.24,250,0,0","-0.82,250,0,0","-0.74,250,0,0","0.35,250,0,0","0.94,250,0,0","0.24,250,0,0","-0.82,250,0,0","-0.74,250,0,0","0.35,250,0,0","0.94,250,0,0","0.24,250,0,0","-0.79,250,0,0","-0.70,250,0,0","0.31,250,0,0","0.80,250,0,0","0.19,250,0,0","-0.58,250,0,0","-0.48,250,0,0","0.20,250,0,0","0.47,250,0,0","0.10,250,0,0","-0.29,250,0,0","-0.21,250,0,0","0.08,250,0,0","0.15,250,0,0","0.02,250,0,0","-0.05,250,0,0","-0.02,250,0,0","0.00,400,0,0"
2,STILL_VIBE,MD4,0,"0.01,250,0,0","0.02,250,0,0","-0.02,250,0,0","-0.10,250,0,0","-0.04,250,0,0","0.17,250,0,0","0.21,250,0,0","-0.12,250,0,0","-0.40,250,0,0","-0.12,250,0,0","0.47,250,0,0","0.48,250,0,0","-0.25,250,0,0","-0.74,250,0,0","-0.20,250,0,0","0.73,250,0,0","0.70,250,0,0","-0.34,250,0,0","-0.94,250,0,0","-0.24,250,0,0","0.81,250,0,0","0.74,250,0,0","-0.35,250,0,0","-0.94,250,0,0","-0.24,250,0,0","0.81,250,0,0","0.74,250,0,0","-0.35,250,0,0","-0.94,250,0,0","-0.24,250,0,0","0.81,250,0,0","0.74,250,0,0","-0.35,250,0,0","-0.94,250,0,0","-0.24,250,0,0","0.81,250,0,0","0.74,250,0,0","-0.35,250,0,0","-0.94,250,0,0","-0.24,250,0,0","0.81,250,0,0","0.74,250,0,0","-0.35,250,0,0","-0.94,250,0,0","-0.24,250,0,0","0.81,250,0,0","0.74,250,0,0","-0.35,250,0,0","-0.94,250,0,0","-0.24,250,0,0","0.81,250,0,0","0.74,250,0,0","-0.35,250,0,0","-0.94,250,0,0","-0.24,250,0,0","0.81,250,0,0","0.74,250,0,0","-0.35,250,0,0","-0.94,250,0,0","-0.24,250,0,0","0.81,250,0,0","0.74,250,0,0","-0.35,250,0,0","-0.94,250,0,0","-0.24,250,0,0","0.79,250,0,0","0.70,250,0,0","-0.31,250,0,0","-0.80,250,0,0","-0.19,250,0,0","0.58,250,0,0","0.48,250,0,0","-0.20,250,0,0","-0.47,250,0,0","-0.10,250,0,0","0.28,250,0,0","0.21,250,0,0","-0.08,250,0,0","-0.15,250,0,0","-0.02,250,0,0","0.05,250,0,0","0.02,250,0,0","0.00,400,0,0"
