MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19,P-Vector 20,P-Vector 21,P-Vector 22,P-Vector 23,P-Vector 24,P-Vector 25,P-Vector 26,P-Vector 27,P-Vector 28,P-Vector 29,P-Vector 30,P-Vector 31,P-Vector 32,P-Vector 33,P-Vector 34,P-Vector 35,P-Vector 36,P-Vector 37,P-Vector 38,P-Vector 39,P-Vector 40,P-Vector 41,P-Vector 42,P-Vector 43,P-Vector 44,P-Vector 45,P-Vector 46,P-Vector 47,P-Vector 48,P-Vector 49,P-Vector 50,P-Vector 51,P-Vector 52,P-Vector 53,P-Vector 54,P-Vector 55,P-Vector 56,P-Vector 57,P-Vector 58,P-Vector 59,P-Vector 60,P-Vector 61,P-Vector 62,P-Vector 63,P-Vector 64,P-Vector 65,P-Vector 66,P-Vector 67,P-Vector 68,P-Vector 69,P-Vector 70,P-Vector 71,P-Vector 72,P-Vector 73,P-Vector 74,P-Vector 75,P-Vector 76,P-Vector 77,P-Vector 78,P-Vector 79,P-Vector 80,P-Vector 81,P-Vector 82,P-Vector 83,P-Vector 84,P-Vector 85,P-Vector 86,P-Vector 87,P-Vector 88,P-Vector 89,P-Vector 90,P-Vector 91,P-Vector 92,P-Vector 93,P-Vector 94,P-Vector 95,P-Vector 96,P-Vector 97,P-Vector 98,P-Vector 99,P-Vector 100,P-Vector 101,P-Vector 102,P-Vector 103,P-Vector 104,P-Vector 105,P-Vector 106,P-Vector 107,P-Vector 108,P-Vector 109,P-Vector 110,P-Vector 111,P-Vector 112,P-Vector 113,P-Vector 114,P-Vector 115,P-Vector 116,P-Vector 117,P-Vector 118,P-Vector 119,P-Vector 120,P-Vector 121,P-Vector 122,P-Vector 123,P-Vector 124,P-Vector 125,P-Vector 126,P-Vector 127,P-Vector 128,P-Vector 129,P-Vector 130,P-Vector 131,P-Vector 132,P-Vector 133,P-Vector 134,P-Vector 135,P-Vector 136,P-Vector 137,P-Vector 138,P-Vector 139
7,HORIZ_LS_DECAY,MD1,0,"0.01,250,0,0","0.11,250,0,0","0.30,250,0,0","0.50,250,0,0","0.59,250,0,0","0.42,250,0,0","-0.09,250,0,0","-0.87,250,0,0","-1.74,250,0,0","-2.41,250,0,0","-2.56,250,0,0","-2.02,250,0,0","-0.82,250,0,0","0.77,250,0,0","2.34,250,0,0","3.49,250,0,0","3.92,250,0,0","3.48,250,0,0","2.23,250,0,0","0.40,250,0,0","-1.58,250,0,0","-3.24,250,0,0","-4.18,250,0,0","-4.17,250,0,0","-3.23,250,0,0","-1.62,250,0,0","0.25,250,0,0","1.96,250,0,0","3.16,250,0,0","3.67,250,0,0","3.40,250,0,0","2.43,250,0,0","0.92,250,0,0","-0.82,250,0,0","-2.40,250,0,0","-3.46,250,0,0","-3.73,250,0,0","-3.17,250,0,0","-1.93,250,0,0","-0.33,250,0,0","1.25,250,0,0","2.49,250,0,0","3.15,250,0,0","3.15,250,0,0","2.48,250,0,0","1.29,250,0,0","-0.20,250,0,0","-1.67,250,0,0","-2.77,250,0,0","-3.25,250,0,0","-3.00,250,0,0","-2.09,250,0,0","-0.77,250,0,0","0.66,250,0,0","1.87,250,0,0","2.64,250,0,0","2.84,250,0,0","2.44,250,0,0","1.52,250,0,0","0.27,250,0,0","-1.05,250,0,0","-2.15,250,0,0","-2.77,250,0,0","-2.76,250,0,0","-2.14,250,0,0","-1.08,250,0,0","0.17,250,0,0","1.32,250,0,0","2.15,250,0,0","2.50,250,0,0","2.31,250,0,0","1.64,250,0,0","0.62,250,0,0","-0.55,250,0,0","-1.60,250,0,0","-2.29,250,0,0","-2.47,250,0,0","-2.10,250,0,0","-1.28,250,0,0","-0.22,250,0,0","0.84,250,0,0","1.69,250,0,0","2.14,250,0,0","2.14,250,0,0","1.68,250,0,0","0.87,250,0,0","-0.14,250,0,0","-1.11,250,0,0","-1.84,250,0,0","-2.16,250,0,0","-1.99,250,0,0","-1.39,250,0,0","-0.51,250,0,0","0.44,250,0,0","1.26,250,0,0","1.79,250,0,0","1.92,250,0,0","1.65,250,0,0","1.02,250,0,0","0.18,250,0,0","-0.70,250,0,0","-1.43,250,0,0","-1.84,250,0,0","-1.83,250,0,0","-1.43,250,0,0","-0.72,250,0,0","0.11,250,0,0","0.89,250,0,0","1.45,250,0,0","1.69,250,0,0","1.57,250,0,0","1.11,250,0,0","0.42,250,0,0","-0.36,250,0,0","-1.06,250,0,0","-1.52,250,0,0","-1.64,250,0,0","-1.40,250,0,0","-0.86,250,0,0","-0.15,250,0,0","0.56,250,0,0","1.11,250,0,0","1.36,250,0,0","1.30,250,0,0","0.96,250,0,0","0.46,250,0,0","-0.07,250,0,0","-0.48,250,0,0","-0.70,250,0,0","-0.71,250,0,0","-0.56,250,0,0","-0.32,250,0,0","-0.10,250,0,0","0.06,250,0,0","0.13,250,0,0","0.13,250,0,0","0.08,250,0,0","0.03,250,0,0","0.00,400,0,0"
7,HORIZ_LS_DECAY,MD2,0,"0.01,250,0,0","0.11,250,0,0","0.30,250,0,0","0.51,250,0,0","0.60,250,0,0","0.42,250,0,0","-0.09,250,0,0","-0.85,250,0,0","-1.68,250,0,0","-2.28,250,0,0","-2.42,250,0,0","-1.93,250,0,0","-0.81,250,0,0","0.78,250,0,0","2.48,250,0,0","3.80,250,0,0","4.31,250,0,0","3.79,250,0,0","2.35,250,0,0","0.40,250,0,0","-1.53,250,0,0","-3.02,250,0,0","-3.82,250,0,0","-3.81,250,0,0","-3.01,250,0,0","-1.57,250,0,0","0.25,250,0,0","2.05,250,0,0","3.41,250,0,0","4.00,250,0,0","3.69,250,0,0","2.57,250,0,0","0.94,250,0,0","-0.80,250,0,0","-2.28,250,0,0","-3.21,250,0,0","-3.44,250,0,0","-2.96,250,0,0","-1.85,250,0,0","-0.33,250,0,0","1.29,250,0,0","2.64,250,0,0","3.40,250,0,0","3.39,250,0,0","2.63,250,0,0","1.33,250,0,0","-0.20,250,0,0","-1.61,250,0,0","-2.61,250,0,0","-3.03,250,0,0","-2.81,250,0,0","-2.00,250,0,0","-0.76,250,0,0","0.67,250,0,0","1.96,250,0,0","2.81,250,0,0","3.04,250,0,0","2.58,250,0,0","1.57,250,0,0","0.27,250,0,0","-1.03,250,0,0","-2.05,250,0,0","-2.60,250,0,0","-2.60,250,0,0","-2.04,250,0,0","-1.06,250,0,0","0.17,250,0,0","1.36,250,0,0","2.26,250,0,0","2.65,250,0,0","2.44,250,0,0","1.71,250,0,0","0.63,250,0,0","-0.54,250,0,0","-1.54,250,0,0","-2.18,250,0,0","-2.34,250,0,0","-2.01,250,0,0","-1.25,250,0,0","-0.22,250,0,0","0.86,250,0,0","1.75,250,0,0","2.25,250,0,0","2.25,250,0,0","1.75,250,0,0","0.88,250,0,0","-0.14,250,0,0","-1.09,250,0,0","-1.77,250,0,0","-2.06,250,0,0","-1.91,250,0,0","-1.35,250,0,0","-0.51,250,0,0","0.45,250,0,0","1.30,250,0,0","1.87,250,0,0","2.01,250,0,0","1.71,250,0,0","1.05,250,0,0","0.18,250,0,0","-0.69,250,0,0","-1.39,250,0,0","-1.76,250,0,0","-1.76,250,0,0","-1.38,250,0,0","-0.71,250,0,0","0.11,250,0,0","0.91,250,0,0","1.50,250,0,0","1.76,250,0,0","1.62,250,0,0","1.14,250,0,0","0.42,250,0,0","-0.36,250,0,0","-1.04,250,0,0","-1.47,250,0,0","-1.58,250,0,0","-1.36,250,0,0","-0.84,250,0,0","-0.15,250,0,0","0.57,250,0,0","1.14,250,0,0","1.41,250,0,0","1.34,250,0,0","0.98,250,0,0","0.46,250,0,0","-0.07,250,0,0","-0.48,250,0,0","-0.69,250,0,0","-0.70,250,0,0","-0.55,250,0,0","-0.32,250,0,0","-0.10,250,0,0","0.06,250,0,0","0.13,250,0,0","0.13,250,0,0","0.08,250,0,0","0.03,250,0,0","0.00,400,0,0"
7,HORIZ_LS_DECAY,MD3,0,"0.01,250,0,0","0.11,250,0,0","0.30,250,0,0","0.50,250,0,0","0.59,250,0,0","0.42,250,0,0","-0.09,250,0,0","-0.87,250,0,0","-1.74,250,0,0","-2.40,250,0,0","-2.56,250,0,0","-2.02,250,0,0","-0.82,250,0,0","0.77,250,0,0","2.34,250,0,0","3.48,250,0,0","3.91,250,0,0","3.47,250,0,0","2.22,250,0,0","0.40,250,0,0","-1.58,250,0,0","-3.24,250,0,0","-4.18,250,0,0","-4.17,250,0,0","-3.23,250,0,0","-1.62,250,0,0","0.25,250,0,0","1.95,250,0,0","3.15,250,0,0","3.66,250,0,0","3.39,250,0,0","2.42,250,0,0","0.92,250,0,0","-0.81,250,0,0","-2.40,250,0,0","-3.45,250,0,0","-3.73,250,0,0","-3.16,250,0,0","-1.93,250,0,0","-0.33,250,0,0","1.25,250,0,0","2.48,250,0,0","3.15,250,0,0","3.14,250,0,0","2.48,250,0,0","1.28,250,0,0","-0.20,250,0,0","-1.67,250,0,0","-2.77,250,0,0","-3.25,250,0,0","-3.00,250,0,0","-2.09,250,0,0","-0.77,250,0,0","0.66,250,0,0","1.87,250,0,0","2.64,250,0,0","2.83,250,0,0","2.43,250,0,0","1.52,250,0,0","0.27,250,0,0","-1.05,250,0,0","-2.15,250,0,0","-2.76,250,0,0","-2.76,250,0,0","-2.14,250,0,0","-1.08,250,0,0","0.17,250,0,0","1.32,250,0,0","2.14,250,0,0","2.49,250,0,0","2.31,250,0,0","1.64,250,0,0","0.62,250,0,0","-0.54,250,0,0","-1.59,250,0,0","-2.29,250,0,0","-2.47,250,0,0","-2.10,250,0,0","-1.28,250,0,0","-0.22,250,0,0","0.84,250,0,0","1.68,250,0,0","2.14,250,0,0","2.13,250,0,0","1.68,250,0,0","0.86,250,0,0","-0.14,250,0,0","-1.11,250,0,0","-1.84,250,0,0","-2.15,250,0,0","-1.99,250,0,0","-1.39,250,0,0","-0.51,250,0,0","0.44,250,0,0","1.26,250,0,0","1.79,250,0,0","1.92,250,0,0","1.65,250,0,0","1.02,250,0,0","0.18,250,0,0","-0.70,250,0,0","-1.43,250,0,0","-1.83,250,0,0","-1.83,250,0,0","-1.42,250,0,0","-0.72,250,0,0","0.11,250,0,0","0.89,250,0,0","1.45,250,0,0","1.69,250,0,0","1.56,250,0,0","1.11,250,0,0","0.42,250,0,0","-0.36,250,0,0","-1.06,250,0,0","-1.52,250,0,0","-1.64,250,0,0","-1.40,250,0,0","-0.86,250,0,0","-0.15,250,0,0","0.56,250,0,0","1.10,250,0,0","1.36,250,0,0","1.29,250,0,0","0.96,250,0,0","0.46,250,0,0","-0.07,250,0,0","-0.48,250,0,0","-0.70,250,0,0","-0.71,250,0,0","-0.56,250,0,0","-0.32,250,0,0","-0.10,250,0,0","0.06,250,0,0","0.13,250,0,0","0.13,250,0,0","0.08,250,0,0","0.03,250,0,0","0.00,400,0,0"
7,HORIZ_LS_DECAY,MD4,0,"0.01,250,0,0","0.11,250,0,0","0.30,250,0,0","0.51,250,0,0","0.60,250,0,0","0.42,250,0,0","-0.09,250,0,0","-0.85,250,0,0","-1.67,250,0,0","-2.28,250,0,0","-2.42,250,0,0","-1.93,250,0,0","-0.81,250,0,0","0.78,250,0,0","2.47,250,0,0","3.79,250,0,0","4.30,250,0,0","3.78,250,0,0","2.35,250,0,0","0.40,250,0,0","-1.52,250,0,0","-3.01,250,0,0","-3.81,250,0,0","-3.80,250,0,0","-3.00,250,0,0","-1.56,250,0,0","0.25,250,0,0","2.05,250,0,0","3.41,250,0,0","4.00,250,0,0","3.69,250,0,0","2.57,250,0,0","0.94,250,0,0","-0.80,250,0,0","-2.27,250,0,0","-3.20,250,0,0","-3.43,250,0,0","-2.95,250,0,0","-1.84,250,0,0","-0.33,250,0,0","1.29,250,0,0","2.64,250,0,0","3.40,250,0,0","3.39,250,0,0","2.63,250,0,0","1.32,250,0,0","-0.20,250,0,0","-1.61,250,0,0","-2.60,250,0,0","-3.02,250,0,0","-2.80,250,0,0","-2.00,250,0,0","-0.75,250,0,0","0.67,250,0,0","1.95,250,0,0","2.81,250,0,0","3.03,250,0,0","2.58,250,0,0","1.57,250,0,0","0.27,250,0,0","-1.03,250,0,0","-2.05,250,0,0","-2.60,250,0,0","-2.59,250,0,0","-2.04,250,0,0","-1.05,250,0,0","0.17,250,0,0","1.36,250,0,0","2.26,250,0,0","2.65,250,0,0","2.44,250,0,0","1.71,250,0,0","0.63,250,0,0","-0.54,250,0,0","-1.54,250,0,0","-2.17,250,0,0","-2.33,250,0,0","-2.00,250,0,0","-1.25,250,0,0","-0.22,250,0,0","0.86,250,0,0","1.75,250,0,0","2.25,250,0,0","2.25,250,0,0","1.75,250,0,0","0.88,250,0,0","-0.14,250,0,0","-1.08,250,0,0","-1.76,250,0,0","-2.05,250,0,0","-1.90,250,0,0","-1.35,250,0,0","-0.51,250,0,0","0.45,250,0,0","1.30,250,0,0","1.87,250,0,0","2.01,250,0,0","1.71,250,0,0","1.05,250,0,0","0.18,250,0,0","-0.69,250,0,0","-1.38,250,0,0","-1.76,250,0,0","-1.76,250,0,0","-1.38,250,0,0","-0.71,250,0,0","0.11,250,0,0","0.91,250,0,0","1.50,250,0,0","1.76,250,0,0","1.62,250,0,0","1.14,250,0,0","0.42,250,0,0","-0.36,250,0,0","-1.04,250,0,0","-1.47,250,0,0","-1.58,250,0,0","-1.35,250,0,0","-0.84,250,0,0","-0.15,250,0,0","0.57,250,0,0","1.13,250,0,0","1.40,250,0,0","1.34,250,0,0","0.98,250,0,0","0.46,250,0,0","-0.07,250,0,0","-0.47,250,0,0","-0.69,250,0,0","-0.70,250,0,0","-0.55,250,0,0","-0.32,250,0,0","-0.10,250,0,0","0.06,250,0,0","0.13,250,0,0","0.13,250,0,0","0.08,250,0,0","0.03,250,0,0","0.00,400,0,0"
