MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19,P-Vector 20,P-Vector 21,P-Vector 22,P-Vector 23,P-Vector 24,P-Vector 25,P-Vector 26,P-Vector 27,P-Vector 28,P-Vector 29,P-Vector 30,P-Vector 31,P-Vector 32,P-Vector 33,P-Vector 34,P-Vector 35,P-Vector 36,P-Vector 37,P-Vector 38,P-Vector 39,P-Vector 40,P-Vector 41,P-Vector 42,P-Vector 43,P-Vector 44,P-Vector 45,P-Vector 46,P-Vector 47,P-Vector 48,P-Vector 49,P-Vector 50,P-Vector 51,P-Vector 52,P-Vector 53,P-Vector 54,P-Vector 55,P-Vector 56,P-Vector 57,P-Vector 58,P-Vector 59,P-Vector 60,P-Vector 61,P-Vector 62,P-Vector 63,P-Vector 64,P-Vector 65,P-Vector 66,P-Vector 67,P-Vector 68,P-Vector 69,P-Vector 70,P-Vector 71,P-Vector 72,P-Vector 73,P-Vector 74,P-Vector 75,P-Vector 76,P-Vector 77,P-Vector 78,P-Vector 79,P-Vector 80,P-Vector 81,P-Vector 82,P-Vector 83
21,DWELL_LS_VIBE,MD1,0,"0.01,250,0,0","0.05,250,0,0","0.16,250,0,0","0.28,250,0,0","0.34,250,0,0","0.41,250,0,0","0.37,250,0,0","0.28,250,0,0","-0.47,250,0,0","-2.31,250,0,0","-4.10,250,0,0","-4.92,250,0,0","-4.52,250,0,0","-3.84,250,0,0","-2.49,250,0,0","-1.14,250,0,0","0.69,250,0,0","2.73,250,0,0","2.89,250,0,0","1.58,250,0,0","0.67,250,0,0","1.67,250,0,0","2.35,250,0,0","1.37,250,0,0","-1.81,250,0,0","-5.70,250,0,0","-7.14,250,0,0","-6.56,250,0,0","-5.74,250,0,0","-5.63,250,0,0","-3.98,250,0,0","-1.20,250,0,0","1.85,250,0,0","3.44,250,0,0","2.14,250,0,0","0.41,250,0,0","0.75,250,0,0","2.85,250,0,0","2.96,250,0,0","0.67,250,0,0","-2.84,250,0,0","-5.63,250,0,0","-6.05,250,0,0","-5.96,250,0,0","-6.45,250,0,0","-6.66,250,0,0","-3.91,250,0,0","-0.12,250,0,0","2.45,250,0,0","2.69,250,0,0","0.98,250,0,0","0.49,250,0,0","1.95,250,0,0","3.49,250,0,0","2.23,250,0,0","-0.38,250,0,0","-2.77,250,0,0","-4.57,250,0,0","-5.47,250,0,0","-6.67,250,0,0","-7.50,250,0,0","-6.59,250,0,0","-2.85,250,0,0","0.46,250,0,0","1.72,250,0,0","1.53,250,0,0","1.03,250,0,0","1.56,250,0,0","2.24,250,0,0","2.19,250,0,0","0.85,250,0,0","-0.20,250,0,0","-0.97,250,0,0","-1.96,250,0,0","-2.59,250,0,0","-2.68,250,0,0","-2.06,250,0,0","-1.17,250,0,0","-0.34,250,0,0","-0.02,250,0,0","0.04,250,0,0","0.05,250,0,0","0.00,400,0,0"
21,DWELL_LS_VIBE,MD2,0,"0.02,250,0,0","0.15,250,0,0","0.36,250,0,0","0.61,250,0,0","0.99,250,0,0","1.41,250,0,0","1.09,250,0,0","0.04,250,0,0","-1.05,250,0,0","-1.40,250,0,0","-0.70,250,0,0","-0.46,250,0,0","-1.49,250,0,0","-2.79,250,0,0","-1.90,250,0,0","0.33,250,0,0","2.59,250,0,0","4.44,250,0,0","5.42,250,0,0","6.66,250,0,0","7.48,250,0,0","6.57,250,0,0","2.85,250,0,0","-0.45,250,0,0","-1.73,250,0,0","-1.59,250,0,0","-1.09,250,0,0","-1.72,250,0,0","-2.62,250,0,0","-2.74,250,0,0","-1.15,250,0,0","0.30,250,0,0","1.71,250,0,0","4.00,250,0,0","6.16,250,0,0","7.71,250,0,0","7.41,250,0,0","5.51,250,0,0","2.28,250,0,0","0.24,250,0,0","-0.67,250,0,0","-1.66,250,0,0","-2.27,250,0,0","-2.37,250,0,0","-1.85,250,0,0","-1.61,250,0,0","-1.23,250,0,0","-0.78,250,0,0","1.13,250,0,0","4.68,250,0,0","7.20,250,0,0","7.64,250,0,0","6.32,250,0,0","4.94,250,0,0","2.96,250,0,0","1.26,250,0,0","-0.74,250,0,0","-2.82,250,0,0","-2.92,250,0,0","-1.60,250,0,0","-0.69,250,0,0","-1.69,250,0,0","-2.35,250,0,0","-1.37,250,0,0","1.80,250,0,0","5.53,250,0,0","6.68,250,0,0","5.85,250,0,0","4.82,250,0,0","4.38,250,0,0","2.84,250,0,0","0.77,250,0,0","-1.07,250,0,0","-1.76,250,0,0","-1.00,250,0,0","-0.28,250,0,0","-0.32,250,0,0","-0.67,250,0,0","-0.47,250,0,0","-0.07,250,0,0","0.17,250,0,0","0.15,250,0,0","0.00,400,0,0"
21,DWELL_LS_VIBE,MD3,0,"0.01,250,0,0","0.05,250,0,0","0.15,250,0,0","0.27,250,0,0","0.33,250,0,0","0.40,250,0,0","0.37,250,0,0","0.28,250,0,0","-0.46,250,0,0","-2.31,250,0,0","-4.12,250,0,0","-4.95,250,0,0","-4.53,250,0,0","-3.85,250,0,0","-2.49,250,0,0","-1.15,250,0,0","0.68,250,0,0","2.72,250,0,0","2.86,250,0,0","1.53,250,0,0","0.61,250,0,0","1.63,250,0,0","2.34,250,0,0","1.38,250,0,0","-1.81,250,0,0","-5.73,250,0,0","-7.18,250,0,0","-6.59,250,0,0","-5.76,250,0,0","-5.64,250,0,0","-3.99,250,0,0","-1.21,250,0,0","1.84,250,0,0","3.43,250,0,0","2.10,250,0,0","0.35,250,0,0","0.69,250,0,0","2.82,250,0,0","2.96,250,0,0","0.67,250,0,0","-2.85,250,0,0","-5.65,250,0,0","-6.07,250,0,0","-5.98,250,0,0","-6.47,250,0,0","-6.69,250,0,0","-3.92,250,0,0","-0.12,250,0,0","2.45,250,0,0","2.67,250,0,0","0.93,250,0,0","0.43,250,0,0","1.91,250,0,0","3.47,250,0,0","2.22,250,0,0","-0.39,250,0,0","-2.78,250,0,0","-4.58,250,0,0","-5.48,250,0,0","-6.70,250,0,0","-7.54,250,0,0","-6.61,250,0,0","-2.85,250,0,0","0.47,250,0,0","1.71,250,0,0","1.50,250,0,0","0.98,250,0,0","1.53,250,0,0","2.21,250,0,0","2.17,250,0,0","0.83,250,0,0","-0.20,250,0,0","-0.97,250,0,0","-1.96,250,0,0","-2.59,250,0,0","-2.69,250,0,0","-2.07,250,0,0","-1.17,250,0,0","-0.34,250,0,0","-0.02,250,0,0","0.04,250,0,0","0.05,250,0,0","0.00,400,0,0"
21,DWELL_LS_VIBE,MD4,0,"0.02,250,0,0","0.16,250,0,0","0.36,250,0,0","0.61,250,0,0","0.99,250,0,0","1.42,250,0,0","1.09,250,0,0","0.04,250,0,0","-1.05,250,0,0","-1.39,250,0,0","-0.66,250,0,0","-0.41,250,0,0","-1.46,250,0,0","-2.77,250,0,0","-1.89,250,0,0","0.35,250,0,0","2.61,250,0,0","4.45,250,0,0","5.44,250,0,0","6.70,250,0,0","7.54,250,0,0","6.61,250,0,0","2.85,250,0,0","-0.47,250,0,0","-1.73,250,0,0","-1.54,250,0,0","-1.02,250,0,0","-1.67,250,0,0","-2.58,250,0,0","-2.71,250,0,0","-1.12,250,0,0","0.32,250,0,0","1.70,250,0,0","4.00,250,0,0","6.19,250,0,0","7.78,250,0,0","7.47,250,0,0","5.53,250,0,0","2.27,250,0,0","0.23,250,0,0","-0.65,250,0,0","-1.62,250,0,0","-2.23,250,0,0","-2.33,250,0,0","-1.79,250,0,0","-1.56,250,0,0","-1.20,250,0,0","-0.78,250,0,0","1.12,250,0,0","4.69,250,0,0","7.25,250,0,0","7.70,250,0,0","6.36,250,0,0","4.95,250,0,0","2.96,250,0,0","1.28,250,0,0","-0.72,250,0,0","-2.79,250,0,0","-2.89,250,0,0","-1.54,250,0,0","-0.62,250,0,0","-1.64,250,0,0","-2.34,250,0,0","-1.38,250,0,0","1.80,250,0,0","5.56,250,0,0","6.73,250,0,0","5.88,250,0,0","4.84,250,0,0","4.40,250,0,0","2.86,250,0,0","0.78,250,0,0","-1.07,250,0,0","-1.76,250,0,0","-0.98,250,0,0","-0.25,250,0,0","-0.30,250,0,0","-0.66,250,0,0","-0.47,250,0,0","-0.07,250,0,0","0.17,250,0,0","0.16,250,0,0","0.00,400,0,0"
