MS ID,MS NAME,MD ID,C-Vector,P-Vector 1,P-Vector 2,P-Vector 3,P-Vector 4,P-Vector 5,P-Vector 6,P-Vector 7,P-Vector 8,P-Vector 9,P-Vector 10,P-Vector 11,P-Vector 12,P-Vector 13,P-Vector 14,P-Vector 15,P-Vector 16,P-Vector 17,P-Vector 18,P-Vector 19,P-Vector 20,P-Vector 21,P-Vector 22,P-Vector 23,P-Vector 24,P-Vector 25,P-Vector 26,P-Vector 27,P-Vector 28,P-Vector 29,P-Vector 30,P-Vector 31,P-Vector 32,P-Vector 33,P-Vector 34,P-Vector 35,P-Vector 36,P-Vector 37,P-Vector 38,P-Vector 39,P-Vector 40,P-Vector 41,P-Vector 42,P-Vector 43,P-Vector 44,P-Vector 45,P-Vector 46,P-Vector 47,P-Vector 48,P-Vector 49,P-Vector 50,P-Vector 51,P-Vector 52,P-Vector 53,P-Vector 54,P-Vector 55,P-Vector 56,P-Vector 57,P-Vector 58,P-Vector 59,P-Vector 60,P-Vector 61,P-Vector 62,P-Vector 63,P-Vector 64,P-Vector 65,P-Vector 66,P-Vector 67,P-Vector 68,P-Vector 69,P-Vector 70,P-Vector 71,P-Vector 72,P-Vector 73,P-Vector 74,P-Vector 75,P-Vector 76,P-Vector 77,P-Vector 78,P-Vector 79,P-Vector 80,P-Vector 81,P-Vector 82,P-Vector 83
11,VERT_LS_VIBE,MD1,0,"-0.01,250,0,0","-0.09,250,0,0","-0.31,250,0,0","-0.59,250,0,0","-0.64,250,0,0","-0.31,250,0,0","0.24,250,0,0","0.80,250,0,0","1.46,250,0,0","2.35,250,0,0","2.97,250,0,0","2.47,250,0,0","0.70,250,0,0","-1.42,250,0,0","-2.95,250,0,0","-3.87,250,0,0","-4.55,250,0,0","-4.70,250,0,0","-3.46,250,0,0","-0.65,250,0,0","2.42,250,0,0","4.19,250,0,0","4.35,250,0,0","3.90,250,0,0","3.53,250,0,0","2.57,250,0,0","0.22,250,0,0","-2.90,250,0,0","-5.18,250,0,0","-5.53,250,0,0","-4.43,250,0,0","-2.96,250,0,0","-1.53,250,0,0","0.36,250,0,0","2.91,250,0,0","5.03,250,0,0","5.34,250,0,0","3.86,250,0,0","1.88,250,0,0","0.29,250,0,0","-1.32,250,0,0","-3.45,250,0,0","-5.46,250,0,0","-5.93,250,0,0","-4.25,250,0,0","-1.47,250,0,0","0.86,250,0,0","2.22,250,0,0","3.31,250,0,0","4.56,250,0,0","5.08,250,0,0","3.78,250,0,0","0.97,250,0,0","-1.82,250,0,0","-3.52,250,0,0","-4.36,250,0,0","-4.87,250,0,0","-4.84,250,0,0","-3.48,250,0,0","-0.65,250,0,0","2.42,250,0,0","4.19,250,0,0","4.35,250,0,0","3.90,250,0,0","3.51,250,0,0","2.49,250,0,0","0.21,250,0,0","-2.59,250,0,0","-4.34,250,0,0","-4.27,250,0,0","-3.10,250,0,0","-1.88,250,0,0","-0.88,250,0,0","0.19,250,0,0","1.27,250,0,0","1.81,250,0,0","1.55,250,0,0","0.87,250,0,0","0.31,250,0,0","0.03,250,0,0","-0.08,250,0,0","-0.09,250,0,0","0.00,400,0,0"
11,VERT_LS_VIBE,MD2,0,"0.02,250,0,0","0.12,250,0,0","0.28,250,0,0","0.44,250,0,0","0.58,250,0,0","0.56,250,0,0","0.07,250,0,0","-0.98,250,0,0","-2.07,250,0,0","-2.52,250,0,0","-2.24,250,0,0","-1.73,250,0,0","-1.07,250,0,0","0.32,250,0,0","2.64,250,0,0","4.86,250,0,0","5.48,250,0,0","4.18,250,0,0","2.08,250,0,0","0.30,250,0,0","-1.19,250,0,0","-3.03,250,0,0","-4.88,250,0,0","-5.39,250,0,0","-3.88,250,0,0","-1.33,250,0,0","0.86,250,0,0","2.38,250,0,0","3.80,250,0,0","5.16,250,0,0","5.52,250,0,0","3.98,250,0,0","1.01,250,0,0","-1.79,250,0,0","-3.27,250,0,0","-3.73,250,0,0","-4.15,250,0,0","-4.39,250,0,0","-3.33,250,0,0","-0.65,250,0,0","2.47,250,0,0","4.47,250,0,0","4.93,250,0,0","4.55,250,0,0","3.89,250,0,0","2.63,250,0,0","0.24,250,0,0","-2.75,250,0,0","-4.78,250,0,0","-4.92,250,0,0","-3.79,250,0,0","-2.62,250,0,0","-1.49,250,0,0","0.41,250,0,0","3.16,250,0,0","5.45,250,0,0","5.86,250,0,0","4.31,250,0,0","2.10,250,0,0","0.30,250,0,0","-1.19,250,0,0","-3.03,250,0,0","-4.88,250,0,0","-5.39,250,0,0","-3.86,250,0,0","-1.29,250,0,0","0.81,250,0,0","2.12,250,0,0","3.17,250,0,0","3.98,250,0,0","3.90,250,0,0","2.55,250,0,0","0.57,250,0,0","-0.90,250,0,0","-1.41,250,0,0","-1.37,250,0,0","-1.23,250,0,0","-0.98,250,0,0","-0.53,250,0,0","-0.07,250,0,0","0.15,250,0,0","0.12,250,0,0","0.00,400,0,0"
11,VERT_LS_VIBE,MD3,0,"-0.01,250,0,0","-0.09,250,0,0","-0.32,250,0,0","-0.59,250,0,0","-0.65,250,0,0","-0.31,250,0,0","0.24,250,0,0","0.81,250,0,0","1.49,250,0,0","2.38,250,0,0","3.00,250,0,0","2.49,250,0,0","0.71,250,0,0","-1.43,250,0,0","-2.99,250,0,0","-3.94,250,0,0","-4.63,250,0,0","-4.76,250,0,0","-3.50,250,0,0","-0.66,250,0,0","2.45,250,0,0","4.24,250,0,0","4.41,250,0,0","3.96,250,0,0","3.58,250,0,0","2.59,250,0,0","0.22,250,0,0","-2.94,250,0,0","-5.24,250,0,0","-5.62,250,0,0","-4.50,250,0,0","-3.01,250,0,0","-1.55,250,0,0","0.38,250,0,0","2.95,250,0,0","5.08,250,0,0","5.40,250,0,0","3.91,250,0,0","1.91,250,0,0","0.30,250,0,0","-1.35,250,0,0","-3.51,250,0,0","-5.54,250,0,0","-6.01,250,0,0","-4.31,250,0,0","-1.50,250,0,0","0.86,250,0,0","2.25,250,0,0","3.36,250,0,0","4.62,250,0,0","5.14,250,0,0","3.82,250,0,0","0.99,250,0,0","-1.83,250,0,0","-3.57,250,0,0","-4.43,250,0,0","-4.96,250,0,0","-4.91,250,0,0","-3.52,250,0,0","-0.66,250,0,0","2.45,250,0,0","4.24,250,0,0","4.41,250,0,0","3.96,250,0,0","3.55,250,0,0","2.52,250,0,0","0.20,250,0,0","-2.63,250,0,0","-4.39,250,0,0","-4.33,250,0,0","-3.16,250,0,0","-1.91,250,0,0","-0.88,250,0,0","0.20,250,0,0","1.29,250,0,0","1.83,250,0,0","1.57,250,0,0","0.88,250,0,0","0.31,250,0,0","0.03,250,0,0","-0.08,250,0,0","-0.09,250,0,0","0.00,400,0,0"
11,VERT_LS_VIBE,MD4,0,"0.02,250,0,0","0.12,250,0,0","0.29,250,0,0","0.45,250,0,0","0.59,250,0,0","0.57,250,0,0","0.06,250,0,0","-1.00,250,0,0","-2.10,250,0,0","-2.56,250,0,0","-2.28,250,0,0","-1.76,250,0,0","-1.09,250,0,0","0.34,250,0,0","2.70,250,0,0","4.94,250,0,0","5.58,250,0,0","4.27,250,0,0","2.13,250,0,0","0.31,250,0,0","-1.22,250,0,0","-3.09,250,0,0","-4.95,250,0,0","-5.46,250,0,0","-3.94,250,0,0","-1.36,250,0,0","0.87,250,0,0","2.43,250,0,0","3.89,250,0,0","5.27,250,0,0","5.62,250,0,0","4.05,250,0,0","1.03,250,0,0","-1.81,250,0,0","-3.32,250,0,0","-3.80,250,0,0","-4.23,250,0,0","-4.45,250,0,0","-3.37,250,0,0","-0.65,250,0,0","2.51,250,0,0","4.55,250,0,0","5.03,250,0,0","4.66,250,0,0","3.97,250,0,0","2.66,250,0,0","0.23,250,0,0","-2.79,250,0,0","-4.84,250,0,0","-4.99,250,0,0","-3.86,250,0,0","-2.67,250,0,0","-1.51,250,0,0","0.44,250,0,0","3.22,250,0,0","5.55,250,0,0","5.97,250,0,0","4.41,250,0,0","2.15,250,0,0","0.31,250,0,0","-1.22,250,0,0","-3.09,250,0,0","-4.95,250,0,0","-5.46,250,0,0","-3.92,250,0,0","-1.32,250,0,0","0.82,250,0,0","2.17,250,0,0","3.24,250,0,0","4.06,250,0,0","3.97,250,0,0","2.59,250,0,0","0.59,250,0,0","-0.91,250,0,0","-1.44,250,0,0","-1.40,250,0,0","-1.25,250,0,0","-0.99,250,0,0","-0.54,250,0,0","-0.07,250,0,0","0.15,250,0,0","0.12,250,0,0","0.00,400,0,0"
